country,iso3,year,case_id,case_id_words,decision_date_raw,decision_direction,judicial_body,type_of_law,v2juhcname,court_level,high_court,low_court,supranatl_court
Angola,AGO,2015,Angola_2015_01,journalistrafaelmarquesdemoraispublishedabookabouthumanrightsviolationscommittedinangolasdiamondfieldsseveralarmygeneralsandpartnersofcommercialsocietiesimplicatedinthebookfiledacomplaintagainstmarque,28-May-15,Contracts Expression,First Instance Court,Criminal Law,Constitutional Court (Tribunal Constitucional),low,,,
Angola,AGO,2016,Angola_2016_01,inmarchtheprovincialcourtofluandaangolafoundyouthactivistsguiltyofcriminalassociationactsofrebellionandplottingagainstpresidentjoseduardodossantoswhosepresidencyhaslastedyearstheywereallsentencedbetwe,28-Mar-16,Contracts Expression,First Instance Court,Criminal Law,Constitutional Court (Tribunal Constitucional),low,,,
Australia,AUS,1994,Australia_1994_01,thehighcourtofaustraliainferredanimpliedrighttofreedomofpoliticalcommunicationintheaustralianconstitutionthatcouldserveasadefenseindefamationproceedingstheophanousaservingmemberoftheaustralianparliame,12-Oct-94,Mixed Outcome,Constitutional Court,Constitutional Law,High Court of Australia,high,,,
Australia,AUS,1998,Australia_1998_01,thequeenslandcourtofappealdismissedtheaustralianbroadcastingcorporationsappealagainstajudgesdecisiongrantinganinteriminjunctiontostopbroadcastingamusicalcompositioncalledbackdoormanthesongusedvariouse,28-Sep-98,Contracts Expression,Appellate Court,Civil Law|Constitutional Law,High Court of Australia,mid,,,
Australia,AUS,2004,Australia_2004_01,thefederalcourtofaustraliaheldbyamajoritythatthecartoonentitledalaspooryaganpublishedbywesternaustraliannewspapersltdwasprotectedbyfreedomofexpressionundersectiondoftheracialdiscriminationactthepetiti,6-Feb-04,Expands Expression,Appellate Court,Civil Law|Law of Evidence,High Court of Australia,mid,,,
Australia,AUS,2010,Australia_2010_01,thehighcourtofaustraliaorderedthatdocumentsrelatingtotherefusaltoissueapardonforthesentenceofawomanconvictedofmurderingherabusivehusbandmustbeprovidedtothewomanthecourtheldthataccesstodocumentswhichar,23-Jun-10,Expands Expression,Supreme (court of final appeal),Administrative Law,High Court of Australia,high,,,
Australia,AUS,2011,Australia_2011_01,thefederalcourtofaustraliafoundthatarticleswrittenbythefirstrespondentandpublishedbythesecondrespondentwerereasonablylikelytooffendinsulthumiliateorintimidatetheapplicantsandthatthemessagescontainedin,28-Sep-11,Mixed Outcome,First Instance Court,Civil Law|Constitutional Law,High Court of Australia,low,,,
Australia,AUS,2013,Australia_2013_01,thehighcourtofaustraliaheldthatsectionaofthefreedomofinformationactfoiaexcludesfromdisclosuredocumentsheldbytheofficialsecretarytothegovernorgeneralunlesstheyrelatetomattersofanadministrativenaturewhi,6-Dec-13,Contracts Expression,Supreme (court of final appeal),Administrative Law,High Court of Australia,high,,,
Australia,AUS,2014,Australia_2014_03,defamationcanstemfromstatementsthatarenotdirectlydefamatorybutwhichimplydefamationoftheplaintiffthesupremecourtofnewsouthwalesallowedtheimputationsatissueandruledthatbasedonthematerialinthebookitcould,30-Oct-14,Contracts Expression,Appellate Court,Civil Law,High Court of Australia,mid,,,
Australia,AUS,2015,Australia_2015_02,theaustralianhighcourtfoundthatwhileprovisionsofthenewsouthwaleselectionfundingexpenditureanddisclosuresactofefedactburdenedtheimpliedfreedomtopoliticalcommunicationtheywerejustifiedinfurtheranceofthe,7-Oct-15,Mixed Outcome,Supreme (court of final appeal),Constitutional Law|Election Law,High Court of Australia,high,,,
