country,legal_system
India,Common
United States,Common
Tanzania,Common
United Kingdom,Common
Canada,Common
Australia,Common
Singapore,Common
Liberia,Mixed
Ireland,Common
New Zealand,Common
Jamaica,Common
Trinidad and Tobago,Common
Fiji,Common
Guyana,Common
Belize,Common
Bahamas,Common
Barbados,Common
Saint Lucia,Common
Guam,Common
Kiribati,Common
Grenada,Common
Tonga,Common
Saint Vincent and the Grenadines,Common
Antigua and Barbuda,Common
Isle of Man,Common
United States Virgin Islands,Common
Cayman Islands,Common
Dominica,Common
Bermuda,Common
Saint Kitts and Nevis,Common
Gibraltar,Common
British Virgin Islands,Common
Anguilla,Common
Cook Islands,Common
Montserrat,Common
Falkland Islands,Common
Tokelau,Common
Niue,Common
Pakistan,Mixed
Nigeria,Mixed
Bangladesh,Mixed
Egypt,Mixed
Philippines,Mixed
Thailand,Mixed
South Africa,Mixed
Kenya,Mixed
Myanmar,Mixed
Sudan,Mixed
Uganda,Mixed
South Korea,Mixed
Iraq,Mixed
Yemen,Mixed
Morocco,Mixed
Mozambique,Mixed
Malaysia,Mixed
Ghana,Mixed
Madagascar,Mixed
Cameroon,Mixed
Nepal,Mixed
Niger,Mixed
Syria,Mixed
Mali,Mixed
Sri Lanka,Mixed
Malawi,Mixed
Zambia,Mixed
Chad,Mixed
Somalia,Mixed
Zimbabwe,Mixed
Rwanda,Mixed
Burundi,Mixed
Tunisia,Mixed
Jordan,Mixed
United Arab Emirates,Mixed
Papua New Guinea,Mixed
Israel,Mixed
Sierra Leone,Mixed
Hong Kong,Mixed
Republic of the Congo,Mixed
Lebanon,Mixed
Oman,Mixed
Norway,Mixed
Mauritania,Mixed
Kuwait,Mixed
Eritrea,Mixed
Qatar,Mixed
Namibia,Mixed
Gambia,Mixed
Gabon,Mixed
Botswana,Mixed
Lesotho,Mixed
Guinea-Bissau,Mixed
Equatorial Guinea,Mixed
Bahrain,Mixed
Cyprus,Mixed
Eswatini,Mixed
Mauritius,Mixed
Djibouti,Mixed
Comoros,Mixed
Solomon Islands,Mixed
Malta,Mixed
Maldives,Mixed
Brunei,Mixed
Vanuatu,Mixed
Sao Tome and Principe,Mixed
Samoa,Mixed
Seychelles,Mixed
Micronesia,Mixed
Jersey,Mixed
Guernsey,Mixed
Turks and Caicos Islands,Mixed
American Samoa,Mixed
Sint Maarten,Mixed
Marshall Islands,Mixed
Palau,Mixed
Nauru,Mixed
Tuvalu,Mixed
China,Civil
Indonesia,Civil
Brazil,Civil
Russia,Civil
Ethiopia,Civil
Mexico,Civil
Japan,Civil
DR Congo,Civil
Vietnam,Civil
Iran,Religious
Turkey,Civil
Germany,Civil
France,Civil
Italy,Civil
Colombia,Civil
Algeria,Mixed
Spain,Civil
Argentina,Civil
Afghanistan,Religious
Angola,Civil
Ukraine,Civil
Poland,Civil
Uzbekistan,Civil
Saudi Arabia,Islamic
Peru,Civil
Ivory Coast,Civil
Venezuela,Civil
North Korea,Civil
Burkina Faso,Mixed
Taiwan,Civil
Kazakhstan,Civil
Chile,Civil
Senegal,Civil
Guatemala,Civil
Romania,Civil
Netherlands,Civil
Ecuador,Civil
Cambodia,Mixed
Guinea,Civil
Benin,Civil
Bolivia,Civil
Haiti,Civil
Belgium,Civil
Dominican Republic,Civil
Honduras,Civil
Tajikistan,Civil
Cuba,Civil
Sweden,Civil
Czechia,Civil
Azerbaijan,Civil
Portugal,Civil
Togo,Customary
Greece,Civil
Hungary,Civil
Austria,Civil
Switzerland,Civil
Belarus,Civil
Laos,Civil
Turkmenistan,Civil
Libya,Mixed
Kyrgyzstan,Civil
Nicaragua,Civil
Paraguay,Civil
Bulgaria,Civil
Serbia,Civil
El Salvador,Civil
Denmark,Civil
Central African Republic,Civil
Finland,Civil
Slovakia,Civil
Costa Rica,Civil
Panama,Civil
Croatia,Civil
Georgia,Civil
Mongolia,Civil
Uruguay,Civil
Puerto Rico,Civil
Bosnia and Herzegovina,Civil
Moldova,Civil
Armenia,Civil
Lithuania,Civil
Albania,Civil
Slovenia,Civil
Latvia,Civil
North Macedonia,Civil
Timor-Leste,Civil
Estonia,Civil
Bhutan,Civil
Macau,Civil
Luxembourg,Civil
Suriname,Civil
Montenegro,Civil
Cape Verde,Civil
Iceland,Civil
New Caledonia,Civil
French Polynesia,Civil
Curacao,Civil
Aruba,Civil
Andorra,Mixed
Faroe Islands,Civil
Greenland,Mixed
Northern Mariana Islands,Mixed
Liechtenstein,Civil
Monaco,Civil
San Marino,Civil
Saint Martin,Civil
Saint Barthelemy,Civil
Wallis and Futuna,Civil
Saint Pierre and Miquelon,Civil
