spec,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_expression_jind_reform,825,-763.893335384963,1567.786670769926,1662.0943384966197,0.09782391426757109,Mixed Outcome
spec_expression_jind_attack,825,-764.55783609585,1569.1156721917,1663.4233399183936,0.09703912322077879,Mixed Outcome
spec_expression_jind_pack,825,-763.4125429665199,1566.8250859330399,1661.1327536597335,0.098391741478555,Mixed Outcome
spec_expression_jind_purge,825,-762.421920181311,1564.843840362622,1659.1515080893155,0.09956169040388085,Mixed Outcome
spec_citizen_jind_reform,825,-761.630485007901,1563.260970015802,1657.5686377424956,0.10049639405134503,Mixed Outcome
spec_citizen_jind_attack,825,-762.9112676726782,1565.8225353453563,1660.1302030720499,0.09898375944955173,Mixed Outcome
spec_citizen_jind_pack,825,-761.8334231965412,1563.6668463930823,1657.974514119776,0.10025671925357926,Mixed Outcome
spec_citizen_jind_purge,825,-760.2603858456279,1560.5207716912557,1654.8284394179493,0.10211451354791323,Mixed Outcome
spec_press_jind_reform,825,-761.2505431894508,1562.5010863789016,1656.8087541055952,0.10094511431986619,Mixed Outcome
spec_press_jind_attack,825,-762.3086554176032,1564.6173108352064,1658.9249785619,0.09969545876713248,Mixed Outcome
spec_press_jind_pack,825,-760.9597566225964,1561.9195132451928,1656.2271809718864,0.10128854012883215,Mixed Outcome
spec_press_jind_purge,825,-759.1954086014658,1558.3908172029317,1652.6984849296252,0.10337227684682726,Mixed Outcome
