variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
Intercept,3.7157057340515056,Contracts Expression,Contracts Expression,0.7806525444244318,1.9383931401469632e-06,spec_expression_jind_reform,Mixed Outcome,***,3.716*** (0.781)
Intercept,1.5420170653707064,Expands Expression,Expands Expression,0.5977769024950007,0.0098918759300229,spec_expression_jind_reform,Mixed Outcome,***,1.542*** (0.598)
wdj_expression_lag1,0.76124593116385,Contracts Expression,Contracts Expression,0.7785179704881103,0.32816622362826164,spec_expression_jind_reform,Mixed Outcome,,0.761 (0.779)
wdj_expression_lag1,0.8009800761972881,Expands Expression,Expands Expression,0.5552984957321232,0.1491806655690934,spec_expression_jind_reform,Mixed Outcome,,0.801 (0.555)
j_ind_lag1,0.29624282728912804,Contracts Expression,Contracts Expression,0.27256244747594577,0.27708959589001636,spec_expression_jind_reform,Mixed Outcome,,0.296 (0.273)
j_ind_lag1,0.5722056433444636,Expands Expression,Expands Expression,0.2365836523828201,0.015579562026989208,spec_expression_jind_reform,Mixed Outcome,**,0.572** (0.237)
v2jureform_lag1,0.18675843931416866,Contracts Expression,Contracts Expression,0.24303735308303406,0.44222871795873386,spec_expression_jind_reform,Mixed Outcome,,0.187 (0.243)
v2jureform_lag1,-0.15081802798086227,Expands Expression,Expands Expression,0.17560124804930746,0.39041417774790454,spec_expression_jind_reform,Mixed Outcome,,-0.151 (0.176)
v2x_polyarchy_lag1,-5.575652413850944,Contracts Expression,Contracts Expression,1.4564725243538148,0.0001290894998697405,spec_expression_jind_reform,Mixed Outcome,***,-5.576*** (1.456)
v2x_polyarchy_lag1,-2.135793171856765,Expands Expression,Expands Expression,0.9494514251526117,0.024480556170059318,spec_expression_jind_reform,Mixed Outcome,**,-2.136** (0.949)
v2jureview_lag1,-0.34897091661432406,Contracts Expression,Contracts Expression,0.34844349599607555,0.31657854549589337,spec_expression_jind_reform,Mixed Outcome,,-0.349 (0.348)
v2jureview_lag1,0.48870905630192824,Expands Expression,Expands Expression,0.34915616958874407,0.16160732172433856,spec_expression_jind_reform,Mixed Outcome,,0.489 (0.349)
legal_common,0.8150265257083242,Contracts Expression,Contracts Expression,0.522152199236923,0.11854772789363122,spec_expression_jind_reform,Mixed Outcome,,0.815 (0.522)
legal_common,-1.3936150845565047,Expands Expression,Expands Expression,0.44572088294508694,0.001768077376569522,spec_expression_jind_reform,Mixed Outcome,***,-1.394*** (0.446)
legal_civil,0.2928375257398328,Contracts Expression,Contracts Expression,0.4658803426123679,0.5296318444579317,spec_expression_jind_reform,Mixed Outcome,,0.293 (0.466)
legal_civil,-0.39923078345766144,Expands Expression,Expands Expression,0.33386780201427924,0.23178435973813394,spec_expression_jind_reform,Mixed Outcome,,-0.399 (0.334)
high_court,-0.48298701326031573,Contracts Expression,Contracts Expression,0.2710968281647894,0.07481394015108613,spec_expression_jind_reform,Mixed Outcome,*,-0.483* (0.271)
high_court,-0.06869418650839375,Expands Expression,Expands Expression,0.14504816608742818,0.6357882485181812,spec_expression_jind_reform,Mixed Outcome,,-0.069 (0.145)
wdj_expression_lag1:j_ind_lag1,-0.31645008131186786,Contracts Expression,Contracts Expression,0.31261209051378464,0.3114055489912948,spec_expression_jind_reform,Mixed Outcome,,-0.316 (0.313)
wdj_expression_lag1:j_ind_lag1,-0.3714413478567561,Expands Expression,Expands Expression,0.24342768119724567,0.12703983664494856,spec_expression_jind_reform,Mixed Outcome,,-0.371 (0.243)
Intercept,3.8016140915405243,Contracts Expression,Contracts Expression,0.745364193692133,3.3903600187025133e-07,spec_expression_jind_attack,Mixed Outcome,***,3.802*** (0.745)
Intercept,1.6664697211597168,Expands Expression,Expands Expression,0.596698352890832,0.00522511297823081,spec_expression_jind_attack,Mixed Outcome,***,1.666*** (0.597)
wdj_expression_lag1,0.8980672646427822,Contracts Expression,Contracts Expression,0.7854120015307129,0.252858190113885,spec_expression_jind_attack,Mixed Outcome,,0.898 (0.785)
wdj_expression_lag1,0.786542942122629,Expands Expression,Expands Expression,0.5579941418724498,0.15866079223562268,spec_expression_jind_attack,Mixed Outcome,,0.787 (0.558)
j_ind_lag1,0.31648733773646104,Contracts Expression,Contracts Expression,0.2725807152970647,0.2456103805067571,spec_expression_jind_attack,Mixed Outcome,,0.316 (0.273)
j_ind_lag1,0.5406878075847582,Expands Expression,Expands Expression,0.2394896816196846,0.023966465465506244,spec_expression_jind_attack,Mixed Outcome,**,0.541** (0.239)
v2jupoatck_lag1,0.2231966478405978,Contracts Expression,Contracts Expression,0.12755248836455071,0.0801456535310283,spec_expression_jind_attack,Mixed Outcome,*,0.223* (0.128)
v2jupoatck_lag1,0.025473726510131772,Expands Expression,Expands Expression,0.11311588579497928,0.8218234898137072,spec_expression_jind_attack,Mixed Outcome,,0.025 (0.113)
v2x_polyarchy_lag1,-5.832154315393694,Contracts Expression,Contracts Expression,1.3063098290264434,8.021748565802694e-06,spec_expression_jind_attack,Mixed Outcome,***,-5.832*** (1.306)
v2x_polyarchy_lag1,-2.523297674541091,Expands Expression,Expands Expression,0.9574693960180792,0.00840426251938977,spec_expression_jind_attack,Mixed Outcome,***,-2.523*** (0.957)
v2jureview_lag1,-0.2665726601432763,Contracts Expression,Contracts Expression,0.33960427860300607,0.4324823984698468,spec_expression_jind_attack,Mixed Outcome,,-0.267 (0.34)
v2jureview_lag1,0.5152634613619089,Expands Expression,Expands Expression,0.34565339885596785,0.13604184174098874,spec_expression_jind_attack,Mixed Outcome,,0.515 (0.346)
legal_common,0.4991817297798293,Contracts Expression,Contracts Expression,0.4608836913394184,0.27876538359473546,spec_expression_jind_attack,Mixed Outcome,,0.499 (0.461)
legal_common,-1.227852859462178,Expands Expression,Expands Expression,0.3795411542522116,0.0012160095181582324,spec_expression_jind_attack,Mixed Outcome,***,-1.228*** (0.38)
