spec,wdj_variable,wdj_level,wdj_value,j_ind_value,outcome,predicted_probability,ci_low,ci_high,n_obs,n_sim,ci_level
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.844,Mixed Outcome,0.4758956716315218,0.24822903500495205,0.6494283301216351,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.844,Contracts Expression,0.25732777373760235,0.1393243840710839,0.48354686061675656,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.844,Expands Expression,0.26677655463087585,0.129164871205316,0.4728137037414103,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.772795918367347,Mixed Outcome,0.46925526190060374,0.24816956125465103,0.6401058880752825,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.772795918367347,Contracts Expression,0.2579893075181319,0.14247529103222661,0.4775297442253292,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.772795918367347,Expands Expression,0.2727554305812644,0.1359624616760122,0.4741895631828412,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.7015918367346938,Mixed Outcome,0.4625905684754648,0.2484272307786115,0.6306315300596677,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.7015918367346938,Contracts Expression,0.2586063466327377,0.14567727317664544,0.4714351843318335,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.7015918367346938,Expands Expression,0.2788030848917975,0.14314168235652455,0.47493371497494324,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.6303877551020408,Mixed Outcome,0.45590400307113504,0.2473814835322485,0.6210076650344754,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.6303877551020408,Contracts Expression,0.2591781399755772,0.14892023177514133,0.4653214223447325,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.6303877551020408,Expands Expression,0.2849178569532877,0.1519751831540186,0.47564025942560906,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.5591836734693878,Mixed Outcome,0.44919804240112027,0.24632149262104253,0.6112257425445948,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.5591836734693878,Contracts Expression,0.2597039615408118,0.1520858456484514,0.45873397593701204,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.5591836734693878,Expands Expression,0.29109799605806785,0.15961818533358282,0.4761620871952806,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.48797959183673467,Mixed Outcome,0.44247522530457467,0.24817113609885794,0.6002788821795867,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.48797959183673467,Contracts Expression,0.26018311224197055,0.15496313340125842,0.45269492049946997,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.48797959183673467,Expands Expression,0.2973416624534548,0.16736645606433198,0.4759139692189369,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.41677551020408166,Mixed Outcome,0.4357381496268202,0.24848882982317702,0.5906388099563775,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.41677551020408166,Contracts Expression,0.26061492174383527,0.15801642026175255,0.44666108838537966,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.41677551020408166,Expands Expression,0.3036469286293445,0.1762327693227706,0.47599825620732705,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.3455714285714286,Mixed Outcome,0.42898946885639955,0.24848400293274936,0.5810711379124717,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.3455714285714286,Contracts Expression,0.2609987503001315,0.16093948134211725,0.44063431027071354,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.3455714285714286,Expands Expression,0.310011780843469,0.1846446099505021,0.4778070416840795,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.2743673469387755,Mixed Outcome,0.4222318885230934,0.2485249586406858,0.5704398989197622,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.2743673469387755,Contracts Expression,0.26133399058983486,0.16381898582936805,0.4346164122424348,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.2743673469387755,Expands Expression,0.31643412088707173,0.19320024168557956,0.477572814154192,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.2031632653061225,Mixed Outcome,0.4154681623626129,0.2494659854475337,0.5596392768228219,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.2031632653061225,Contracts Expression,0.2616200695444379,0.16635532274237966,0.4285137475164884,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.2031632653061225,Expands Expression,0.32291176809294914,0.2028002208094367,0.4772925307260737,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.13195918367346937,Mixed Outcome,0.4087010882549797,0.24915718661337186,0.5491326593966376,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.13195918367346937,Contracts Expression,0.26185645015810477,0.1688504104202432,0.4224352834527628,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.13195918367346937,Expands Expression,0.3294424615869155,0.21255337048059103,0.4776534070117336,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.060755102040816356,Mixed Outcome,0.4019335039449349,0.24810956939396558,0.5390640080476506,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.060755102040816356,Contracts Expression,0.26204263327225075,0.17160903772070277,0.41473863625496704,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,-0.060755102040816356,Expands Expression,0.33602386278281426,0.2228472793475898,0.47917679073090513,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.01044897959183666,Mixed Outcome,0.3951682825540577,0.24734649521999064,0.5282304246900269,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.01044897959183666,Contracts Expression,0.26217815932574606,0.17479809653223158,0.406718200861469,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.01044897959183666,Expands Expression,0.34265355812019616,0.23322401507580787,0.47957288049035457,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.08165306122448979,Mixed Outcome,0.38840832789561913,0.24728009259680478,0.5166301831522588,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.08165306122448979,Contracts Expression,0.26226261006165597,0.1780300816994668,0.39910150776047787,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.08165306122448979,Expands Expression,0.349329062042725,0.24224692907290715,0.4813539493616401,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.1528571428571428,Mixed Outcome,0.381656569604536,0.24732416576429903,0.5058044163333232,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.1528571428571428,Contracts Expression,0.2622956101812026,0.18136398015060254,0.3925634831339344,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.1528571428571428,Expands Expression,0.35604782021426135,0.2510291441395443,0.48308675269502466,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.22406122448979582,Mixed Outcome,0.3749159580961249,0.24703342887754143,0.4951674745307259,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.22406122448979582,Contracts Expression,0.262276828935471,0.18488888609873066,0.38505157061095685,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.22406122448979582,Expands Expression,0.3628072129684041,0.26079002663966777,0.48436094989145845,825,1000,0.95
spec_expression_jind_reform,wdj_expression_lag1,Low (p25),0.0,0.29526530612244895,Mixed Outcome,0.36818945936864933,0.24564070000342858,0.4821691484919391,825,1000,0.95
