spec,variable,contrast,n_versions,sources,coef_min,coef_max,coef_mean,max_abs_diff,sign_patterns
spec_extended_2_spline_interact,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",-14.157977369970862,-14.157977369156432,-14.157977369563646,8.14429412798745e-10,0
spec_extended_2_spline_interact,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",14.157977369156432,14.157977369970862,14.157977369563646,8.14429412798745e-10,0
spec_extended_2_spline_interact,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",-188.954858065695,-188.95485806503672,-188.95485806536584,6.582752121175872e-10,0
spec_extended_2_spline_interact,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",188.95485806503672,188.954858065695,188.95485806536584,6.582752121175872e-10,0
spec_extended_1_spline_interact,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",-181.4038587514762,-181.40385875094145,-181.40385875120882,5.347544629330514e-10,0
spec_extended_1_spline_interact,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",181.40385875094145,181.4038587514762,181.40385875120882,5.347544629330514e-10,0
spec_extended_1_spline_interact,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",-154.3711450460839,-154.37114504582587,-154.3711450459549,2.58040699918638e-10,0
spec_extended_1_spline_interact,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",154.37114504582587,154.3711450460839,154.3711450459549,2.58040699918638e-10,0
spec_extended_1_spline_interact,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",-27.032713705195174,-27.032713705019205,-27.03271370510719,1.759694612246676e-10,0
spec_extended_1_spline_interact,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",27.032713705019205,27.032713705195174,27.03271370510719,1.759694612246676e-10,0
spec_extended_2_spline_interact,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",-174.7968806958075,-174.79688069566564,-174.79688069573655,1.418527517671464e-10,-*
spec_extended_2_spline_interact,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",174.79688069566564,174.7968806958075,174.79688069573655,1.418527517671464e-10,+*
