variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se,source_base,source_base_label,outcome_short,base_short
wdj_expression_lag1,-0.1729397084276866,Contracts Expression,Contracts Expression,0.2886214976718729,0.5490448200002646,spec_base_1,Mixed Outcome,,-0.173 (0.289),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,-0.0681172870290237,Expands Expression,Expands Expression,0.1879699515314671,0.7170651574536555,spec_base_1,Mixed Outcome,,-0.068 (0.188),mixed,Mixed Outcome,expand,mixed
v2jureform_lag1,0.0280342550447295,Contracts Expression,Contracts Expression,0.1796953527111565,0.8760252131511893,spec_base_1,Mixed Outcome,,0.028 (0.18),mixed,Mixed Outcome,contract,mixed
v2jureform_lag1,-0.1839420382480336,Expands Expression,Expands Expression,0.1223337208182949,0.1326821679861361,spec_base_1,Mixed Outcome,,-0.184 (0.122),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,-0.1831132473554362,Contracts Expression,Contracts Expression,0.3227688344560721,0.5704967235550469,spec_base_2,Mixed Outcome,,-0.183 (0.323),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,-0.1408545952405998,Expands Expression,Expands Expression,0.2371833668070487,0.552603269923085,spec_base_2,Mixed Outcome,,-0.141 (0.237),mixed,Mixed Outcome,expand,mixed
v2jupoatck_lag1,-0.0215017620195011,Contracts Expression,Contracts Expression,0.1424206626367282,0.8799965309736948,spec_base_2,Mixed Outcome,,-0.022 (0.142),mixed,Mixed Outcome,contract,mixed
v2jupoatck_lag1,-0.1405091339718276,Expands Expression,Expands Expression,0.1045958766567932,0.1791578549594786,spec_base_2,Mixed Outcome,,-0.141 (0.105),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,-0.0695518284173973,Contracts Expression,Contracts Expression,0.2870374095433274,0.8085405225865138,spec_base_3,Mixed Outcome,,-0.07 (0.287),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.0047475457607795,Expands Expression,Expands Expression,0.214167994489435,0.9823144290829808,spec_base_3,Mixed Outcome,,0.005 (0.214),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,-0.2559636519399429,Contracts Expression,Contracts Expression,0.1931497036616865,0.185101967645121,spec_base_3,Mixed Outcome,,-0.256 (0.193),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,-0.2237481906152791,Expands Expression,Expands Expression,0.0877068066605959,0.0107385771699516,spec_base_3,Mixed Outcome,**,-0.224** (0.088),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.0928708184758102,Contracts Expression,Contracts Expression,0.2409587356037603,0.6999247220067586,spec_extended_1,Mixed Outcome,,0.093 (0.241),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.0122811688820556,Expands Expression,Expands Expression,0.2222340797780159,0.955929487543665,spec_extended_1,Mixed Outcome,,0.012 (0.222),mixed,Mixed Outcome,expand,mixed
v2jureform_lag1,0.1839669045061706,Contracts Expression,Contracts Expression,0.250397099098681,0.4625218413026197,spec_extended_1,Mixed Outcome,,0.184 (0.25),mixed,Mixed Outcome,contract,mixed
v2jureform_lag1,-0.1507768824629247,Expands Expression,Expands Expression,0.183299673394355,0.410752346963274,spec_extended_1,Mixed Outcome,,-0.151 (0.183),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-5.1820321764770885,Contracts Expression,Contracts Expression,1.440021320478364,0.0003199592144697,spec_extended_1,Mixed Outcome,***,-5.182*** (1.44),mixed,Mixed Outcome,contract,mixed
