source_base,spec,variable,std_err,p_value,contrast,coef,direction,stars,sign_stars
mixed,spec_base_1,wdj_expression_lag1,0.2886214976718729,0.5490448200002646,contract_vs_mixed,-0.1729397084276866,raw,,0
mixed,spec_base_1,wdj_expression_lag1,0.2886214976718729,0.5490448200002646,mixed_vs_contract,0.1729397084276866,reversed,,0
mixed,spec_base_1,wdj_expression_lag1,0.1879699515314671,0.7170651574536555,expand_vs_mixed,-0.0681172870290237,raw,,0
mixed,spec_base_1,wdj_expression_lag1,0.1879699515314671,0.7170651574536555,mixed_vs_expand,0.0681172870290237,reversed,,0
mixed,spec_base_1,v2jureform_lag1,0.1796953527111565,0.8760252131511893,contract_vs_mixed,0.0280342550447295,raw,,0
mixed,spec_base_1,v2jureform_lag1,0.1796953527111565,0.8760252131511893,mixed_vs_contract,-0.0280342550447295,reversed,,0
mixed,spec_base_1,v2jureform_lag1,0.1223337208182949,0.1326821679861361,expand_vs_mixed,-0.1839420382480336,raw,,0
mixed,spec_base_1,v2jureform_lag1,0.1223337208182949,0.1326821679861361,mixed_vs_expand,0.1839420382480336,reversed,,0
mixed,spec_base_2,wdj_expression_lag1,0.3227688344560721,0.5704967235550469,contract_vs_mixed,-0.1831132473554362,raw,,0
mixed,spec_base_2,wdj_expression_lag1,0.3227688344560721,0.5704967235550469,mixed_vs_contract,0.1831132473554362,reversed,,0
mixed,spec_base_2,wdj_expression_lag1,0.2371833668070487,0.552603269923085,expand_vs_mixed,-0.1408545952405998,raw,,0
mixed,spec_base_2,wdj_expression_lag1,0.2371833668070487,0.552603269923085,mixed_vs_expand,0.1408545952405998,reversed,,0
mixed,spec_base_2,v2jupoatck_lag1,0.1424206626367282,0.8799965309736948,contract_vs_mixed,-0.0215017620195011,raw,,0
mixed,spec_base_2,v2jupoatck_lag1,0.1424206626367282,0.8799965309736948,mixed_vs_contract,0.0215017620195011,reversed,,0
mixed,spec_base_2,v2jupoatck_lag1,0.1045958766567932,0.1791578549594786,expand_vs_mixed,-0.1405091339718276,raw,,0
mixed,spec_base_2,v2jupoatck_lag1,0.1045958766567932,0.1791578549594786,mixed_vs_expand,0.1405091339718276,reversed,,0
mixed,spec_base_3,wdj_expression_lag1,0.2870374095433274,0.8085405225865138,contract_vs_mixed,-0.0695518284173973,raw,,0
mixed,spec_base_3,wdj_expression_lag1,0.2870374095433274,0.8085405225865138,mixed_vs_contract,0.0695518284173973,reversed,,0
mixed,spec_base_3,wdj_expression_lag1,0.214167994489435,0.9823144290829808,expand_vs_mixed,0.0047475457607795,raw,,0
mixed,spec_base_3,wdj_expression_lag1,0.214167994489435,0.9823144290829808,mixed_vs_expand,-0.0047475457607795,reversed,,0
mixed,spec_base_3,v2jupack_lag1,0.1931497036616865,0.185101967645121,contract_vs_mixed,-0.2559636519399429,raw,,0
mixed,spec_base_3,v2jupack_lag1,0.1931497036616865,0.185101967645121,mixed_vs_contract,0.2559636519399429,reversed,,0
mixed,spec_base_3,v2jupack_lag1,0.0877068066605959,0.0107385771699516,expand_vs_mixed,-0.2237481906152791,raw,**,-**
mixed,spec_base_3,v2jupack_lag1,0.0877068066605959,0.0107385771699516,mixed_vs_expand,0.2237481906152791,reversed,**,+**
mixed,spec_extended_1,wdj_expression_lag1,0.2409587356037603,0.6999247220067586,contract_vs_mixed,0.0928708184758102,raw,,0
mixed,spec_extended_1,wdj_expression_lag1,0.2409587356037603,0.6999247220067586,mixed_vs_contract,-0.0928708184758102,reversed,,0
mixed,spec_extended_1,wdj_expression_lag1,0.2222340797780159,0.955929487543665,expand_vs_mixed,0.0122811688820556,raw,,0
mixed,spec_extended_1,wdj_expression_lag1,0.2222340797780159,0.955929487543665,mixed_vs_expand,-0.0122811688820556,reversed,,0
mixed,spec_extended_1,v2jureform_lag1,0.250397099098681,0.4625218413026197,contract_vs_mixed,0.1839669045061706,raw,,0
mixed,spec_extended_1,v2jureform_lag1,0.250397099098681,0.4625218413026197,mixed_vs_contract,-0.1839669045061706,reversed,,0
mixed,spec_extended_1,v2jureform_lag1,0.183299673394355,0.410752346963274,expand_vs_mixed,-0.1507768824629247,raw,,0
mixed,spec_extended_1,v2jureform_lag1,0.183299673394355,0.410752346963274,mixed_vs_expand,0.1507768824629247,reversed,,0
mixed,spec_extended_1,v2x_polyarchy_lag1,1.440021320478364,0.0003199592144697,contract_vs_mixed,-5.1820321764770885,raw,***,-***
mixed,spec_extended_1,v2x_polyarchy_lag1,1.440021320478364,0.0003199592144697,mixed_vs_contract,5.1820321764770885,reversed,***,+***
mixed,spec_extended_1,v2x_polyarchy_lag1,0.8727834800461468,0.0521284342211976,expand_vs_mixed,-1.6950080010263289,raw,*,-*
mixed,spec_extended_1,v2x_polyarchy_lag1,0.8727834800461468,0.0521284342211976,mixed_vs_expand,1.6950080010263289,reversed,*,+*
mixed,spec_extended_1,v2jureview_lag1,0.3732216977499732,0.3056944451460869,contract_vs_mixed,-0.3822903153701999,raw,,0
mixed,spec_extended_1,v2jureview_lag1,0.3732216977499732,0.3056944451460869,mixed_vs_contract,0.3822903153701999,reversed,,0
