spec,variable,contract_vs_mixed,expand_vs_mixed,contract_vs_expand
spec_base_1,v2jureform_lag1,0,0,0
spec_base_1,wdj_expression_lag1,0,0,0
spec_base_2,v2jupoatck_lag1,0,0,0
spec_base_2,wdj_expression_lag1,0,0,0
spec_base_3,v2jupack_lag1,0,-**,0
spec_base_3,wdj_expression_lag1,0,0,0
spec_c_attack,high_court,-**,0,-**
spec_c_attack,j_ind_lag1,0,+**,0
spec_c_attack,legal_civil,0,0,0
spec_c_attack,legal_common,0,-***,+***
spec_c_attack,v2jupoatck_lag1,+*,0,0
spec_c_attack,v2jureview_lag1,0,0,-**
spec_c_attack,v2x_polyarchy_lag1,-***,-**,-***
spec_c_attack,wdj_citizen_lag1,0,0,0
spec_c_attack_decision,high_court,-**,0,-*
spec_c_attack_decision,j_ind_lag1,0,+**,0
spec_c_attack_decision,legal_civil,0,0,0
spec_c_attack_decision,legal_common,0,-**,+***
spec_c_attack_decision,v2jupoatck_lag1,+*,0,0
spec_c_attack_decision,v2jureview_lag1,0,0,-**
spec_c_attack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_c_attack_decision,wdj_citizen_lag1,0,0,0
spec_c_pack,high_court,-*,0,-*
spec_c_pack,j_ind_lag1,0,+**,0
spec_c_pack,legal_civil,0,0,0
spec_c_pack,legal_common,0,-***,+***
spec_c_pack,v2jupack_lag1,+*,0,0
spec_c_pack,v2jureview_lag1,0,0,-***
spec_c_pack,v2x_polyarchy_lag1,-***,-**,-***
spec_c_pack,wdj_citizen_lag1,0,0,0
spec_c_pack_decision,high_court,0,0,0
spec_c_pack_decision,j_ind_lag1,0,+**,0
spec_c_pack_decision,legal_civil,0,0,0
spec_c_pack_decision,legal_common,0,-**,+***
spec_c_pack_decision,v2jupack_lag1,+*,0,0
spec_c_pack_decision,v2jureview_lag1,0,0,-**
spec_c_pack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_c_pack_decision,wdj_citizen_lag1,0,0,0
spec_c_reform,high_court,-*,0,-*
spec_c_reform,j_ind_lag1,0,+**,0
spec_c_reform,legal_civil,0,0,+*
spec_c_reform,legal_common,+*,-***,+***
spec_c_reform,v2jureform_lag1,0,0,+***
spec_c_reform,v2jureview_lag1,0,0,-***
spec_c_reform,v2x_polyarchy_lag1,-***,-**,-***
spec_c_reform,wdj_citizen_lag1,0,0,0
spec_c_reform_decision,high_court,0,0,0
spec_c_reform_decision,j_ind_lag1,0,+**,0
spec_c_reform_decision,legal_civil,0,0,0
spec_c_reform_decision,legal_common,0,-**,+***
spec_c_reform_decision,v2jureform_lag1,0,0,+**
spec_c_reform_decision,v2jureview_lag1,0,0,-**
spec_c_reform_decision,v2x_polyarchy_lag1,-***,-**,-***
spec_c_reform_decision,wdj_citizen_lag1,0,0,0
spec_extended_1,high_court,-*,0,0
spec_extended_1,j_ind_lag1,0,+*,0
spec_extended_1,legal_civil,0,0,+*
spec_extended_1,legal_common,0,-***,+***
spec_extended_1,v2jureform_lag1,0,0,+***
spec_extended_1,v2jureview_lag1,0,0,-**
spec_extended_1,v2x_polyarchy_lag1,-***,-*,-***
spec_extended_1,wdj_expression_lag1,0,0,0
spec_extended_1_spline,high_court,-*,0,0
spec_extended_1_spline,j_ind_lag1,0,+*,0
spec_extended_1_spline,legal_civil,0,0,+*
spec_extended_1_spline,legal_common,0,-***,+***
spec_extended_1_spline,v2jureform_lag1,0,0,+***
spec_extended_1_spline,v2jureview_lag1,0,0,-**
spec_extended_1_spline,v2x_polyarchy_lag1,-***,0,-**
spec_extended_1_spline,wdj_expression_lag1,0,0,0
spec_extended_1_spline_interact,high_court,0,0,0
spec_extended_1_spline_interact,j_ind_lag1,0,+*,0
spec_extended_1_spline_interact,legal_civil,0,0,+**
spec_extended_1_spline_interact,legal_common,0,-***,+***
spec_extended_1_spline_interact,v2jureform_lag1,0,0,+***
spec_extended_1_spline_interact,v2jureview_lag1,0,0,-***
spec_extended_1_spline_interact,v2x_polyarchy_lag1,0,0,0
spec_extended_1_spline_interact,wdj_expression_lag1,0,0,0
spec_extended_2,high_court,-**,0,-*
spec_extended_2,j_ind_lag1,0,+*,0
spec_extended_2,legal_civil,0,0,0
spec_extended_2,legal_common,0,-***,+***
spec_extended_2,v2jupoatck_lag1,+*,0,+*
spec_extended_2,v2jureview_lag1,0,0,-**
spec_extended_2,v2x_polyarchy_lag1,-***,-**,-***
spec_extended_2,wdj_expression_lag1,0,0,0
spec_extended_2_spline,high_court,-*,0,0
spec_extended_2_spline,j_ind_lag1,0,0,0
spec_extended_2_spline,legal_civil,0,0,0
spec_extended_2_spline,legal_common,0,-***,+***
spec_extended_2_spline,v2jupoatck_lag1,0,0,+***
spec_extended_2_spline,v2jureview_lag1,0,0,-**
spec_extended_2_spline,v2x_polyarchy_lag1,-***,0,-***
spec_extended_2_spline,wdj_expression_lag1,0,0,+*
spec_extended_2_spline_interact,high_court,-*,0,0
spec_extended_2_spline_interact,j_ind_lag1,0,+*,0
spec_extended_2_spline_interact,legal_civil,0,0,0
