spec,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_base_1,1074,-1055.0785395684816,2122.157079136963,2152.031950787376,0.004392143309791541,Expands Expression
spec_base_2,1074,-1056.1291768971082,2124.2583537942164,2154.1332254446293,0.003400726330217152,Expands Expression
spec_base_3,1074,-1053.4619980703071,2118.9239961406142,2148.798867791027,0.005917566636955862,Expands Expression
spec_extended_1,825,-764.7878942046069,1565.5757884092138,1650.452689363238,0.09676741911212816,Expands Expression
spec_extended_1_spline,825,-752.2918082473057,1556.5836164946113,1679.183584539313,0.11152559200652068,Expands Expression
spec_extended_1_spline_interact,825,-742.6982378491155,1553.396475698231,1713.71951083361,0.1228558254167903,Expands Expression
spec_extended_2,825,-765.3453700770825,1566.690740154165,1651.5676411081893,0.09610902692928314,Expands Expression
spec_extended_2_spline,825,-752.3447750809652,1556.6895501619304,1679.289518206632,0.1114630369239542,Expands Expression
spec_extended_2_spline_interact,825,-742.9339891216459,1553.8679782432919,1714.191013378671,0.12257739759131225,Expands Expression
spec_extended_3,825,-764.0126996951631,1564.0253993903261,1648.9023003443504,0.09768294215160211,Expands Expression
spec_extended_3_spline,825,-752.5100233567555,1557.020046713511,1679.6200147582126,0.11126787480415556,Expands Expression
spec_extended_3_spline_interact,825,-742.5905094582697,1553.1810189165394,1713.5040540519185,0.12298305519283126,Expands Expression
spec_c_pack,825,-762.3288882838792,1560.6577765677584,1645.5346775217827,0.09967156322976933,Expands Expression
spec_im_pack,825,-762.8165717857596,1561.6331435715192,1646.5100445255434,0.09909559748632879,Expands Expression
spec_p_pack,825,-761.9403271529752,1559.8806543059504,1644.7575552599747,0.10013046311006113,Expands Expression
spec_govprot_pack,825,-763.7571609785223,1563.5143219570446,1648.3912229110688,0.09798473941630426,Expands Expression
spec_c_reform,825,-762.3247869070343,1560.6495738140686,1645.5264747680928,0.09967640705277026,Expands Expression
spec_im_reform,825,-763.4525309549823,1562.9050619099646,1647.7819628639888,0.09834451467486016,Expands Expression
spec_p_reform,825,-761.8336432675687,1559.6672865351375,1644.5441874891617,0.10025645930048865,Expands Expression
spec_govprot_reform,825,-764.4754637813846,1564.9509275627693,1649.8278285167935,0.09713640682709257,Expands Expression
spec_c_attack,825,-763.4642459788904,1562.9284919577808,1647.805392911805,0.09833067895470848,Expands Expression
spec_im_attack,825,-764.6564074277017,1565.3128148554033,1650.1897158094275,0.09692270810369918,Expands Expression
spec_p_attack,825,-763.18492174058,1562.36984348116,1647.2467444351842,0.09866056748273766,Expands Expression
spec_govprot_attack,825,-764.8199820065886,1565.6399640131772,1650.5168649672014,0.09672952265950574,Expands Expression
spec_c_reform_decision,825,-734.9041122936592,1553.8082245873184,1751.8543268133749,0.13206087193304106,Expands Expression
spec_im_reform_decision,825,-735.2109593103769,1554.4219186207538,1752.4680208468103,0.13169847835313753,Expands Expression
spec_p_reform_decision,825,-734.1003307673316,1552.2006615346631,1750.2467637607197,0.13301015691518625,Expands Expression
spec_govprot_reform_decision,825,-736.3730906624636,1556.7461813249272,1754.7922835509837,0.1303259737562027,Expands Expression
spec_c_pack_decision,825,-734.9778503062224,1553.9557006124448,1752.0018028385014,0.1319737855972064,Expands Expression
spec_im_pack_decision,825,-734.7828331913398,1553.5656663826796,1751.6117686087362,0.13220410541964012,Expands Expression
spec_p_pack_decision,825,-734.2949247096005,1552.589849419201,1750.6359516452576,0.132780336869612,Expands Expression
spec_govprot_pack_decision,825,-735.9358346149586,1555.8716692299172,1753.9177714559737,0.13084238348403643,Expands Expression
spec_c_attack_decision,825,-736.0133745148638,1556.0267490297276,1754.0728512557841,0.1307508070293829,Expands Expression
spec_im_attack_decision,825,-736.405546812493,1556.811093624986,1754.8571958510424,0.130287642275829,Expands Expression
spec_p_attack_decision,825,-735.41403851211,1554.82807702422,1752.8741792502765,0.13145863701556415,Expands Expression
spec_govprot_attack_decision,825,-736.8021522985239,1557.6043045970478,1755.6504068231043,0.12981924182198223,Expands Expression
