spec,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_base_1,1074,-1055.0785395684818,2122.1570791369636,2152.0319507873764,0.004392143373428747,Mixed Outcome
spec_base_2,1074,-1056.1291768971082,2124.2583537942164,2154.1332254446293,0.0034007263939179744,Mixed Outcome
spec_base_3,1074,-1053.461998070307,2118.923996140614,2148.7988677910266,0.005917566700496035,Mixed Outcome
spec_extended_1,825,-764.7878942046069,1565.5757884092138,1650.452689363238,0.09676741915630405,Mixed Outcome
spec_extended_1_spline,825,-752.2918082473057,1556.5836164946113,1679.183584539313,0.1115255920499747,Mixed Outcome
spec_extended_1_spline_interact,825,-742.6982378491151,1553.3964756982302,1713.7195108336093,0.12285582545969054,Mixed Outcome
spec_extended_2,825,-765.3453700770825,1566.690740154165,1651.5676411081893,0.09610902697349111,Mixed Outcome
spec_extended_2_spline,825,-752.3447750809652,1556.6895501619304,1679.289518206632,0.11146303696741133,Mixed Outcome
spec_extended_2_spline_interact,825,-742.9339891216462,1553.8679782432923,1714.1910133786714,0.12257739763422548,Mixed Outcome
spec_extended_3,825,-764.0126996951631,1564.0253993903261,1648.9023003443504,0.09768294219573315,Mixed Outcome
spec_extended_3_spline,825,-752.5100233567555,1557.020046713511,1679.6200147582126,0.11126787484762213,Mixed Outcome
spec_extended_3_spline_interact,825,-742.5905094582695,1553.181018916539,1713.504054051918,0.12298305523572517,Mixed Outcome
spec_c_pack,825,-762.3288882838792,1560.6577765677584,1645.5346775217827,0.09967156327380311,Mixed Outcome
spec_im_pack,825,-762.8165717857596,1561.6331435715192,1646.5100445255434,0.09909559753039077,Mixed Outcome
spec_p_pack,825,-761.9403271529752,1559.8806543059504,1644.7575552599747,0.10013046315407248,Mixed Outcome
spec_govprot_pack,825,-763.7571609785223,1563.5143219570446,1648.3912229110688,0.09798473946042052,Mixed Outcome
spec_c_reform,825,-762.3247869070343,1560.6495738140686,1645.5264747680928,0.09967640709680381,Mixed Outcome
spec_im_reform,825,-763.4525309549823,1562.9050619099646,1647.7819628639888,0.09834451471895889,Mixed Outcome
spec_p_reform,825,-761.8336432675687,1559.6672865351375,1644.5441874891617,0.10025645934449379,Mixed Outcome
spec_govprot_reform,825,-764.4754637813846,1564.9509275627693,1649.8278285167935,0.09713640687125036,Mixed Outcome
spec_c_attack,825,-763.4642459788904,1562.9284919577808,1647.805392911805,0.09833067899880776,Mixed Outcome
spec_im_attack,825,-764.6564074277017,1565.3128148554033,1650.1897158094275,0.09692270814786741,Mixed Outcome
spec_p_attack,825,-763.18492174058,1562.36984348116,1647.2467444351842,0.09866056752682084,Mixed Outcome
spec_govprot_attack,825,-764.8199820065887,1565.6399640131774,1650.5168649672016,0.09672952270368329,Mixed Outcome
spec_c_reform_decision,825,-734.9041122936592,1553.8082245873184,1751.8543268133749,0.13206087197549077,Mixed Outcome
spec_im_reform_decision,825,-735.2109593103769,1554.4219186207538,1752.4680208468103,0.131698478395605,Mixed Outcome
spec_p_reform_decision,825,-734.1003307673316,1552.2006615346631,1750.2467637607197,0.13301015695758955,Mixed Outcome
spec_govprot_reform_decision,825,-736.3730906624636,1556.7461813249272,1754.7922835509837,0.13032597379873723,Mixed Outcome
spec_c_pack_decision,825,-734.9778503062224,1553.9557006124448,1752.0018028385014,0.13197378563966033,Mixed Outcome
spec_im_pack_decision,825,-734.7828331913397,1553.5656663826794,1751.611768608736,0.13220410546208294,Mixed Outcome
spec_p_pack_decision,825,-734.2949247096005,1552.589849419201,1750.6359516452576,0.1327803369120265,Mixed Outcome
spec_govprot_pack_decision,825,-735.9358346149586,1555.8716692299172,1753.9177714559737,0.13084238352654576,Mixed Outcome
spec_c_attack_decision,825,-736.0133745148639,1556.0267490297279,1754.0728512557844,0.13075080707189657,Mixed Outcome
spec_im_attack_decision,825,-736.405546812493,1556.811093624986,1754.8571958510424,0.13028764231836543,Mixed Outcome
spec_p_attack_decision,825,-735.41403851211,1554.82807702422,1752.8741792502765,0.13145863705804328,Mixed Outcome
spec_govprot_attack_decision,825,-736.8021522985239,1557.6043045970478,1755.6504068231043,0.12981924186454152,Mixed Outcome
