,outcome
0,0
1,0
2,2
3,0
4,1
5,1
6,2
7,0
8,0
9,2
10,1
11,0
12,0
13,0
14,0
15,2
16,1
17,2
18,1
19,1
20,1
21,1
22,2
23,2
24,1
25,1
26,2
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,2
37,1
38,1
39,0
40,0
41,0
42,2
43,1
44,1
45,2
46,1
47,1
48,2
49,1
50,1
51,0
52,2
53,1
54,0
55,1
56,1
57,2
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,0
68,2
69,1
70,0
71,2
72,2
73,1
74,2
75,2
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,2
84,0
85,1
86,1
87,2
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,2
101,1
102,1
103,2
104,0
105,2
106,2
107,2
108,1
109,0
110,0
111,1
112,0
113,2
114,1
115,0
116,0
117,1
118,0
119,0
120,1
121,0
122,0
123,1
124,2
125,1
126,1
127,2
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,2
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,2
161,1
162,1
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,2
172,2
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,2
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,2
234,1
235,1
236,2
237,2
238,1
239,2
240,1
241,0
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,2
254,2
255,2
256,1
257,1
258,2
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,2
272,1
273,2
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,2
294,1
295,1
296,1
297,2
298,1
299,2
300,2
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,0
320,1
321,2
322,2
323,0
324,0
325,0
326,0
327,0
328,2
329,1
330,1
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,1
340,0
341,2
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,2
352,0
353,1
354,2
355,1
356,2
357,2
358,2
359,2
360,1
361,1
362,1
363,1
364,1
365,1
366,2
367,1
368,2
369,0
370,0
371,2
372,1
373,1
374,0
375,1
376,1
377,0
378,1
379,2
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,0
397,0
398,1
399,2
400,1
401,1
402,1
403,1
404,1
405,2
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,2
414,1
415,2
416,2
417,2
418,1
419,0
420,0
421,0
422,0
423,2
424,0
425,0
426,1
427,2
428,1
429,1
430,1
431,1
432,1
433,2
434,2
435,0
436,2
437,1
438,1
439,0
440,1
441,2
442,2
443,1
444,1
445,2
446,2
447,2
448,2
449,2
450,1
451,2
452,2
453,0
454,2
455,1
456,1
457,2
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,1
466,2
467,0
468,2
469,1
470,1
471,1
472,1
473,1
474,2
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,2
487,1
488,1
489,1
490,2
491,1
492,1
493,1
494,1
495,2
496,0
497,1
498,1
499,2
500,2
501,0
502,1
503,2
504,2
505,0
506,0
507,1
508,1
509,2
510,1
511,0
512,1
513,1
514,1
515,1
516,2
517,1
518,1
519,2
520,1
521,0
522,0
523,0
524,2
525,2
526,2
527,2
528,2
529,1
530,1
531,2
532,2
