,Intercept,wdj_expression_lag1,v2jupack_lag1
0,1.0,0.0,0.743
1,1.0,0.0,0.743
2,1.0,0.0,1.834
3,1.0,0.0,1.834
4,1.0,0.0,1.834
5,1.0,0.0,1.834
6,1.0,0.0,1.834
7,1.0,0.0,1.834
8,1.0,0.0,1.834
9,1.0,0.0,1.834
10,1.0,0.0,1.834
11,1.0,0.0,1.834
12,1.0,0.944444444,1.834
13,1.0,1.0,1.834
14,1.0,1.0,1.834
15,1.0,1.0,1.834
16,1.0,1.0,1.834
17,1.0,1.0,1.834
18,1.0,1.0,1.834
19,1.0,0.685185185,-1.071
20,1.0,0.685185185,-1.071
21,1.0,0.685185185,-1.071
22,1.0,0.685185185,-0.869
23,1.0,0.685185185,-0.869
24,1.0,0.685185185,-0.798
25,1.0,0.685185185,-1.255
26,1.0,0.685185185,-1.255
27,1.0,0.685185185,-1.923
28,1.0,0.055555556,-1.816
29,1.0,0.055555556,-1.816
30,1.0,0.055555556,-1.729
31,1.0,0.475308642,-1.972
32,1.0,0.981481481,-0.107
33,1.0,0.981481481,0.745
34,1.0,0.0,0.562
35,1.0,0.0,0.562
36,1.0,0.0,1.309
37,1.0,0.0,0.911
38,1.0,0.0,0.968
39,1.0,0.0,-1.092
40,1.0,0.0,-1.092
41,1.0,0.0,-1.092
42,1.0,0.037037037,-1.518
43,1.0,0.0,-1.275
44,1.0,0.0,-1.275
45,1.0,-0.111111111,-1.411
46,1.0,-0.111111111,-1.522
47,1.0,0.0,1.858
48,1.0,0.0,1.858
49,1.0,0.0,1.858
50,1.0,0.0,1.858
51,1.0,0.0,1.858
52,1.0,0.0,1.858
53,1.0,0.0,1.858
54,1.0,0.0,1.858
55,1.0,0.0,1.858
56,1.0,0.0,1.858
57,1.0,0.0,1.858
58,1.0,0.0,1.858
59,1.0,0.0,1.858
60,1.0,0.0,1.858
61,1.0,0.0,1.858
62,1.0,0.0,1.858
63,1.0,0.0,1.858
64,1.0,0.0,1.667
65,1.0,0.0,1.667
66,1.0,0.0,1.667
67,1.0,0.0,1.667
68,1.0,0.0,1.667
69,1.0,0.0,1.764
70,1.0,0.0,1.764
71,1.0,0.0,1.764
72,1.0,0.777777778,1.764
73,1.0,0.777777778,1.764
74,1.0,0.777777778,1.088
75,1.0,0.777777778,0.471
76,1.0,0.777777778,1.561
77,1.0,0.0,1.959
78,1.0,0.0,1.959
79,1.0,0.920634921,1.959
80,1.0,0.920634921,1.959
81,1.0,0.920634921,1.959
82,1.0,0.920634921,1.959
83,1.0,0.920634921,1.959
84,1.0,0.920634921,1.959
85,1.0,0.920634921,1.959
86,1.0,0.920634921,1.959
87,1.0,0.920634921,1.959
88,1.0,0.920634921,1.959
89,1.0,0.920634921,1.959
90,1.0,0.920634921,1.959
91,1.0,0.920634921,1.959
92,1.0,0.920634921,1.959
93,1.0,0.920634921,1.959
94,1.0,0.920634921,1.959
95,1.0,0.920634921,1.959
96,1.0,0.908119658,1.04
97,1.0,0.908119658,1.04
98,1.0,0.900966184,1.04
99,1.0,0.905092593,1.04
100,1.0,0.0,-2.151
101,1.0,0.0,-2.099
102,1.0,0.0,-2.099
103,1.0,0.0,0.415
104,1.0,0.0,0.415
105,1.0,0.606837607,1.191
106,1.0,0.606837607,1.018
107,1.0,0.606837607,1.018
108,1.0,0.32748538,-0.157
109,1.0,0.0,1.389
110,1.0,0.0,1.389
111,1.0,0.0,1.389
112,1.0,0.0,1.389
113,1.0,0.0,1.389
114,1.0,0.0,1.389
115,1.0,0.0,1.389
116,1.0,0.0,1.389
117,1.0,0.0,1.389
118,1.0,0.0,1.389
119,1.0,0.0,1.597
120,1.0,0.0,1.597
121,1.0,0.0,1.597
122,1.0,0.0,1.597
123,1.0,0.0,1.597
124,1.0,0.62962963,1.597
125,1.0,0.62962963,1.597
126,1.0,0.62962963,1.597
127,1.0,0.62962963,1.597
128,1.0,0.62962963,1.597
129,1.0,0.62962963,1.597
130,1.0,0.393162393,1.618
131,1.0,0.0,0.067
132,1.0,0.0,0.852
133,1.0,0.0,0.856
134,1.0,0.0,1.238
135,1.0,0.0,1.092
136,1.0,0.0,1.092
137,1.0,0.0,1.092
138,1.0,0.0,1.092
139,1.0,0.0,1.092
140,1.0,0.0,1.092
141,1.0,0.0,1.092
142,1.0,0.0,-0.312
143,1.0,0.0,-0.312
144,1.0,0.393939394,0.858
145,1.0,0.393939394,0.858
146,1.0,0.393939394,0.858
147,1.0,0.393939394,0.151
148,1.0,0.393939394,0.151
149,1.0,0.494152047,-0.019
150,1.0,0.494152047,0.829
151,1.0,0.447089947,0.829
152,1.0,0.0,0.866
153,1.0,0.0,0.866
154,1.0,0.0,0.372
155,1.0,0.873015873,0.372
156,1.0,0.873015873,0.372
157,1.0,0.873015873,0.372
158,1.0,0.873015873,1.401
159,1.0,0.0,1.467
160,1.0,0.0,1.72
161,1.0,0.0,1.241
162,1.0,0.0,1.241
163,1.0,0.0,1.241
164,1.0,0.777777778,1.241
165,1.0,0.777777778,1.241
166,1.0,0.851851852,1.241
167,1.0,0.851851852,1.241
168,1.0,0.851851852,1.567
169,1.0,0.851851852,1.567
170,1.0,0.0,-0.055
171,1.0,0.0,-0.055
172,1.0,0.0,-0.055
173,1.0,0.0,-0.369
174,1.0,-0.037037037,1.0
175,1.0,0.0,1.24
176,1.0,0.0,0.581
177,1.0,0.633986928,0.147
178,1.0,0.633986928,0.147
179,1.0,0.633986928,0.147
180,1.0,0.633986928,0.246
181,1.0,0.633986928,1.238
182,1.0,0.763888889,0.707
183,1.0,0.763888889,0.442
184,1.0,0.763888889,-0.25
185,1.0,0.814814815,0.442
186,1.0,0.814814815,1.044
187,1.0,0.711111111,-0.039
188,1.0,0.711111111,-0.039
189,1.0,0.711111111,-0.109
190,1.0,0.711111111,1.092
191,1.0,0.0,-0.156
192,1.0,0.0,0.43
193,1.0,0.0,0.49
194,1.0,0.0,1.062
195,1.0,0.0,-0.258
196,1.0,0.0,1.047
197,1.0,0.5,0.962
198,1.0,0.0,0.962
199,1.0,0.0,1.055
200,1.0,0.0,1.055
201,1.0,0.953703704,1.055
202,1.0,0.907407407,1.195
203,1.0,0.907407407,1.195
204,1.0,0.907407407,0.79
205,1.0,0.907407407,1.226
206,1.0,0.907407407,1.226
207,1.0,0.907407407,1.548
208,1.0,0.907407407,0.099
209,1.0,0.0,-1.24
210,1.0,0.0,1.066
211,1.0,0.0,1.19
212,1.0,0.0,0.746
213,1.0,0.0,0.746
214,1.0,0.0,1.228
215,1.0,0.0,1.398
216,1.0,0.0,1.398
217,1.0,0.736111111,0.312
218,1.0,0.736111111,-0.493
219,1.0,0.0,-0.996
220,1.0,0.0,0.119
221,1.0,0.0,0.207
222,1.0,0.0,0.388
223,1.0,0.0,0.17
224,1.0,0.533333333,0.428
225,1.0,0.533333333,0.428
226,1.0,0.359477124,0.181
227,1.0,0.579365079,1.769
228,1.0,0.583979328,1.769
229,1.0,0.583979328,1.769
230,1.0,0.55308642,1.769
231,1.0,0.55308642,1.769
232,1.0,0.55308642,1.769
233,1.0,0.55308642,0.036
234,1.0,0.559178744,-0.157
235,1.0,0.559178744,-0.373
236,1.0,0.559178744,-1.0
237,1.0,0.449074074,-1.159
238,1.0,0.449074074,-1.149
239,1.0,0.259259259,-1.056
240,1.0,0.450292398,1.636
241,1.0,0.0,-1.621
242,1.0,0.0,-1.621
243,1.0,0.555555556,-1.4
244,1.0,0.0,1.673
245,1.0,0.0,1.673
246,1.0,0.0,1.673
247,1.0,0.305555556,1.673
