,Intercept,wdj_citizen_lag1,v2jureform_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1,mode_electronic_internet,mode_press_newspapers,mode_public_speech,mode_public_documents,mode_audio_visual_broadcasting,mode_public_assembly,mode_non_verbal_expression,defendant_citizen,defendant_press,defendant_government,defendant_intermediary,defendant_unclear
0,1.0,0.0,-0.157,0.29,1.462,0.0,1.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.157,0.29,1.462,0.0,1.0,0.0,0.217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.713,0.89,1.835,1.0,0.0,1.0,3.037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1.0,0.0,0.713,0.882,1.835,1.0,0.0,0.0,3.014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1.0,0.0,0.713,0.879,1.835,1.0,0.0,0.0,3.014,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,1.0,0.0,0.845,0.889,1.835,1.0,0.0,1.0,3.037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,1.0,0.0,0.845,0.896,1.835,1.0,0.0,0.0,3.014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1.0,0.0,0.845,0.896,1.835,1.0,0.0,1.0,3.366,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,1.0,0.0,0.455,0.862,1.835,1.0,0.0,0.0,3.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,0.455,0.855,1.835,1.0,0.0,1.0,2.528,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,1.0,0.0,0.455,0.871,1.835,1.0,0.0,1.0,3.279,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1.0,0.0,0.455,0.871,1.835,1.0,0.0,0.0,3.014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,1.0,0.944444444,0.211,0.86,1.835,1.0,0.0,0.0,3.014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,1.0,0.0,0.211,0.825,1.835,1.0,0.0,0.0,3.014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.897,0.837,1.835,1.0,0.0,1.0,3.279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,1.0,0.0,0.897,0.828,1.835,1.0,0.0,0.0,3.014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,1.0,0.0,0.897,0.846,1.835,1.0,0.0,0.0,3.014,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,1.0,0.0,0.897,0.848,1.835,1.0,0.0,0.0,3.014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,-1.009,0.193,0.855,0.0,1.0,1.0,-2.345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,1.0,0.055555556,-0.885,0.376,1.826,0.0,0.0,0.0,-1.477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,1.0,0.055555556,-1.044,0.278,1.826,0.0,0.0,0.0,-1.477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,1.0,0.055555556,-0.852,0.252,1.826,0.0,0.0,1.0,-1.089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,1.0,0.981481481,-1.925,0.677,1.891,0.0,1.0,1.0,-1.328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,1.0,0.0,0.883,0.702,1.874,0.0,0.0,0.0,1.949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,1.0,0.0,0.883,0.717,1.874,0.0,0.0,0.0,1.949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,1.0,0.0,0.414,0.69,1.874,0.0,0.0,1.0,1.279,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
38,1.0,0.0,0.129,0.672,1.874,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39,1.0,0.0,-2.153,0.293,-1.002,0.0,0.0,0.0,-1.156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
40,1.0,0.0,-2.153,0.291,-1.002,0.0,0.0,0.0,-1.156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,1.0,0.0,-2.153,0.275,-1.002,0.0,0.0,0.0,-1.156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45,1.0,-0.111111111,-0.485,0.298,-0.667,0.0,0.0,1.0,-1.515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,1.0,0.0,0.056,0.835,1.901,1.0,0.0,1.0,2.199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,1.0,0.0,0.056,0.833,1.901,1.0,0.0,1.0,2.199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,1.0,0.0,0.056,0.833,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,1.0,0.0,0.056,0.832,1.901,1.0,0.0,1.0,2.199,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,1.0,0.0,0.056,0.842,1.901,1.0,0.0,1.0,2.199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1.0,0.0,0.056,0.842,1.901,1.0,0.0,1.0,2.199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,1.0,0.0,0.056,0.846,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,1.0,0.0,0.056,0.84,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,1.0,0.0,0.056,0.836,1.901,1.0,0.0,0.0,2.289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,1.0,0.0,0.056,0.832,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,1.0,0.0,0.056,0.825,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,1.0,0.0,0.056,0.825,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,1.0,0.0,0.056,0.824,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,1.0,0.0,0.056,0.83,1.901,1.0,0.0,0.0,2.289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,1.0,0.0,0.056,0.832,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
62,1.0,0.0,0.056,0.827,1.901,1.0,0.0,1.0,2.199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,1.0,0.0,0.056,0.826,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,1.0,0.0,0.056,0.826,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,1.0,0.0,0.056,0.811,1.901,1.0,0.0,1.0,2.199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,1.0,0.0,0.056,0.81,1.901,1.0,0.0,0.0,2.289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,1.0,0.0,-0.053,0.817,1.901,1.0,0.0,1.0,2.199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,1.0,0.0,-0.053,0.814,1.901,1.0,0.0,0.0,2.289,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,1.0,0.0,0.027,0.807,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,1.0,0.0,0.027,0.834,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,1.0,0.0,0.027,0.839,1.901,1.0,0.0,1.0,2.199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
