,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[1]","bs(year, df=4)[2]","bs(year, df=4)[3]",v2x_polyarchy_lag1,"bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]:v2x_polyarchy_lag1",wdj_expression_lag1,v2jupoatck_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
0,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.29,0.0033506042156325956,0.05544045239324754,0.23120853202551372,0.0,0.0,0.995,1.462,0.0,1.0,0.0,0.217
1,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.29,0.0024458558933777587,0.04837359433569345,0.23918054977092873,0.0,0.0,0.995,1.462,0.0,1.0,0.0,0.217
2,1.0,0.18019156532792122,0.452834217068899,0.3518700073471259,0.0,0.89,0.1603704931418499,0.4030224531913201,0.31316430653894206,0.0,0.0,0.818,1.835,1.0,0.0,1.0,3.037
3,1.0,0.13763706092560826,0.43536138127019725,0.41872885361436474,0.0,0.882,0.12139588773638649,0.383988738280314,0.3693188488878697,0.0,0.0,0.64,1.835,1.0,0.0,0.0,3.014
4,1.0,0.08045232181435334,0.38298735729615674,0.5341091492776886,0.0,0.879,0.07071759087481659,0.33664588706332177,0.46948194221508827,0.0,0.0,1.174,1.835,1.0,0.0,0.0,3.014
5,1.0,0.035709913821129854,0.2950360602284502,0.6689476294989446,0.0,0.889,0.031746113386984444,0.26228705754309223,0.5946944426245617,0.0,0.0,1.299,1.835,1.0,0.0,1.0,3.037
6,1.0,0.029815292789976786,0.27658845383880104,0.6934189406099519,0.0,0.896,0.0267145023398192,0.24782325463956573,0.6213033707865169,0.0,0.0,1.299,1.835,1.0,0.0,0.0,3.014
7,1.0,0.019574630522934858,0.23624956167266287,0.7441375082479678,0.0,0.896,0.017538868948549634,0.21167960725870594,0.6667472073901791,0.0,0.0,1.307,1.835,1.0,0.0,1.0,3.366
8,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.862,0.01316714411678571,0.1847393049575722,0.6640837689352282,0.0,0.0,1.237,1.835,1.0,0.0,0.0,3.014
9,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.855,0.009878505532296102,0.16345374757319533,0.6816665340752216,0.0,0.0,1.237,1.835,1.0,0.0,1.0,2.528
10,1.0,0.00592345781850155,0.14134028516924532,0.8513645148997703,0.0013717421124828531,0.871,0.00515933175991485,0.12310738838241267,0.7415384924776999,0.001194787379972565,0.0,1.191,1.835,1.0,0.0,1.0,3.279
11,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.871,0.003456349206349206,0.10061816578483246,0.7573671859690378,0.00955829903978052,0.0,1.357,1.835,1.0,0.0,0.0,3.014
12,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.86,0.0021491045397750933,0.07760655282521171,0.7483924907831614,0.031851851851851846,0.944444444,1.68,1.835,1.0,0.0,0.0,3.014
13,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.825,0.0011930792725253368,0.05477559504527434,0.6966033421431056,0.07242798353909465,1.0,1.68,1.835,1.0,0.0,0.0,3.014
14,1.0,0.0007404322273126938,0.04487841999989717,0.7829133837124335,0.17146776406035666,0.837,0.0006197417742607247,0.037563237539913925,0.6552985021673068,0.14351851851851852,1.0,1.68,1.835,1.0,0.0,1.0,3.279
15,1.0,0.00031236984589754266,0.026586144661946406,0.6768051891958596,0.2962962962962963,0.828,0.0002586422324031653,0.022013327780091622,0.5603946966541717,0.24533333333333332,1.0,1.68,1.835,1.0,0.0,0.0,3.014
16,1.0,9.255402841408673e-05,0.01241252358842252,0.5169873778015448,0.4705075445816187,0.846,7.830070803831737e-05,0.010500994955805452,0.4373713216201069,0.3980493827160494,1.0,1.965,1.835,1.0,0.0,0.0,3.014
18,1.0,0.0,0.0,0.0,1.0,0.848,0.0,0.0,0.0,0.848,1.0,1.965,1.835,1.0,0.0,0.0,3.014
23,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.193,0.0016277592669720947,0.03219346105789254,0.15917877967513533,0.0,0.685185185,1.54,0.855,0.0,1.0,1.0,-2.345
