,Intercept,wdj_expression_lag1,v2jureform_lag1
0,1.0,0.0,-0.157
1,1.0,0.0,-0.157
2,1.0,0.0,0.713
3,1.0,0.0,0.713
4,1.0,0.0,0.713
5,1.0,0.0,0.845
6,1.0,0.0,0.845
7,1.0,0.0,0.845
8,1.0,0.0,0.455
9,1.0,0.0,0.455
10,1.0,0.0,0.455
11,1.0,0.0,0.455
12,1.0,0.944444444,0.211
13,1.0,1.0,0.211
14,1.0,1.0,0.897
15,1.0,1.0,0.897
16,1.0,1.0,0.897
17,1.0,1.0,0.897
18,1.0,1.0,0.897
19,1.0,0.685185185,-0.969
20,1.0,0.685185185,-1.022
21,1.0,0.685185185,-1.009
22,1.0,0.685185185,-1.009
23,1.0,0.685185185,-1.009
24,1.0,0.685185185,-1.103
25,1.0,0.685185185,-0.909
26,1.0,0.685185185,-0.828
27,1.0,0.685185185,-0.895
28,1.0,0.055555556,-0.885
29,1.0,0.055555556,-1.044
30,1.0,0.055555556,-0.852
31,1.0,0.475308642,-0.982
32,1.0,0.981481481,-1.925
33,1.0,0.981481481,-1.496
34,1.0,0.0,0.883
35,1.0,0.0,0.883
36,1.0,0.0,0.883
37,1.0,0.0,0.414
38,1.0,0.0,0.129
39,1.0,0.0,-2.153
40,1.0,0.0,-2.153
41,1.0,0.0,-2.153
42,1.0,0.037037037,0.041
43,1.0,0.0,-0.83
44,1.0,0.0,-1.17
45,1.0,-0.111111111,-0.485
46,1.0,-0.111111111,-0.485
47,1.0,0.0,0.056
48,1.0,0.0,0.056
49,1.0,0.0,0.056
50,1.0,0.0,0.056
51,1.0,0.0,0.056
52,1.0,0.0,0.056
53,1.0,0.0,0.056
54,1.0,0.0,0.056
55,1.0,0.0,0.056
56,1.0,0.0,0.056
57,1.0,0.0,0.056
58,1.0,0.0,0.056
59,1.0,0.0,0.056
60,1.0,0.0,0.056
61,1.0,0.0,0.056
62,1.0,0.0,0.056
63,1.0,0.0,0.056
64,1.0,0.0,0.056
65,1.0,0.0,0.056
66,1.0,0.0,0.056
67,1.0,0.0,-0.053
68,1.0,0.0,-0.053
69,1.0,0.0,0.027
70,1.0,0.0,0.027
71,1.0,0.0,0.027
72,1.0,0.777777778,0.027
73,1.0,0.777777778,0.027
74,1.0,0.777777778,0.027
75,1.0,0.777777778,0.485
76,1.0,0.777777778,0.485
77,1.0,0.0,1.874
78,1.0,0.0,1.825
79,1.0,0.920634921,1.301
80,1.0,0.920634921,1.301
81,1.0,0.920634921,0.512
82,1.0,0.920634921,0.512
83,1.0,0.920634921,0.512
84,1.0,0.920634921,0.512
85,1.0,0.920634921,0.512
86,1.0,0.920634921,-0.042
87,1.0,0.920634921,-0.042
88,1.0,0.920634921,0.03
89,1.0,0.920634921,-0.048
90,1.0,0.920634921,-0.048
91,1.0,0.920634921,-0.048
92,1.0,0.920634921,-0.048
93,1.0,0.920634921,-0.15
94,1.0,0.920634921,-0.058
95,1.0,0.920634921,-0.058
96,1.0,0.908119658,-0.055
97,1.0,0.908119658,-0.055
98,1.0,0.900966184,-0.055
99,1.0,0.905092593,-0.055
100,1.0,0.0,-2.359
101,1.0,0.0,-2.359
102,1.0,0.0,-2.359
103,1.0,0.0,1.13
104,1.0,0.0,1.13
105,1.0,0.606837607,2.161
106,1.0,0.606837607,1.956
107,1.0,0.606837607,1.697
108,1.0,0.32748538,-0.661
