,Intercept,wdj_expression_lag1,v2jupoatck_lag1
0,1.0,0.0,0.995
1,1.0,0.0,0.995
2,1.0,0.0,0.818
3,1.0,0.0,0.64
4,1.0,0.0,1.174
5,1.0,0.0,1.299
6,1.0,0.0,1.299
7,1.0,0.0,1.307
8,1.0,0.0,1.237
9,1.0,0.0,1.237
10,1.0,0.0,1.191
11,1.0,0.0,1.357
12,1.0,0.944444444,1.68
13,1.0,1.0,1.68
14,1.0,1.0,1.68
15,1.0,1.0,1.68
16,1.0,1.0,1.965
17,1.0,1.0,1.965
18,1.0,1.0,1.965
19,1.0,0.685185185,0.99
20,1.0,0.685185185,1.046
21,1.0,0.685185185,1.046
22,1.0,0.685185185,1.54
23,1.0,0.685185185,1.54
24,1.0,0.685185185,1.234
25,1.0,0.685185185,1.234
26,1.0,0.685185185,1.502
27,1.0,0.685185185,1.076
28,1.0,0.055555556,-1.186
29,1.0,0.055555556,-1.267
30,1.0,0.055555556,-1.516
31,1.0,0.475308642,-1.25
32,1.0,0.981481481,-1.596
33,1.0,0.981481481,-1.249
34,1.0,0.0,2.422
35,1.0,0.0,2.422
36,1.0,0.0,2.422
37,1.0,0.0,2.422
38,1.0,0.0,2.422
39,1.0,0.0,-1.026
40,1.0,0.0,-1.026
41,1.0,0.0,-1.026
42,1.0,0.037037037,-0.52
43,1.0,0.0,1.561
44,1.0,0.0,1.561
45,1.0,-0.111111111,1.234
46,1.0,-0.111111111,1.225
47,1.0,0.0,1.033
48,1.0,0.0,1.033
49,1.0,0.0,1.033
50,1.0,0.0,1.033
51,1.0,0.0,1.033
52,1.0,0.0,1.033
53,1.0,0.0,1.033
54,1.0,0.0,1.033
55,1.0,0.0,1.033
56,1.0,0.0,1.033
57,1.0,0.0,1.033
58,1.0,0.0,1.033
59,1.0,0.0,1.033
60,1.0,0.0,1.033
61,1.0,0.0,1.033
62,1.0,0.0,1.033
63,1.0,0.0,1.033
64,1.0,0.0,1.201
65,1.0,0.0,0.951
66,1.0,0.0,0.745
67,1.0,0.0,0.857
68,1.0,0.0,0.406
69,1.0,0.0,1.343
70,1.0,0.0,1.507
71,1.0,0.0,2.007
72,1.0,0.777777778,1.471
73,1.0,0.777777778,1.471
74,1.0,0.777777778,0.682
75,1.0,0.777777778,0.821
76,1.0,0.777777778,1.024
77,1.0,0.0,0.921
78,1.0,0.0,1.318
79,1.0,0.920634921,1.318
80,1.0,0.920634921,1.318
81,1.0,0.920634921,1.318
82,1.0,0.920634921,1.318
83,1.0,0.920634921,1.318
84,1.0,0.920634921,0.493
85,1.0,0.920634921,0.493
86,1.0,0.920634921,0.732
87,1.0,0.920634921,1.681
88,1.0,0.920634921,1.681
89,1.0,0.920634921,1.681
90,1.0,0.920634921,1.681
91,1.0,0.920634921,1.314
92,1.0,0.920634921,0.701
93,1.0,0.920634921,0.898
94,1.0,0.920634921,1.22
95,1.0,0.920634921,1.482
96,1.0,0.908119658,-1.531
97,1.0,0.908119658,-1.531
98,1.0,0.900966184,-1.922
99,1.0,0.905092593,-1.922
100,1.0,0.0,-1.144
101,1.0,0.0,-1.144
102,1.0,0.0,-1.424
103,1.0,0.0,-0.597
104,1.0,0.0,-0.7
105,1.0,0.606837607,-0.624
106,1.0,0.606837607,-0.32
107,1.0,0.606837607,-0.618
108,1.0,0.32748538,0.106
109,1.0,0.0,0.687
110,1.0,0.0,2.269
111,1.0,0.0,2.269
112,1.0,0.0,2.174
113,1.0,0.0,2.174
114,1.0,0.0,2.174
115,1.0,0.0,2.174
116,1.0,0.0,1.841
117,1.0,0.0,1.701
118,1.0,0.0,1.701
119,1.0,0.0,2.313
120,1.0,0.0,2.313
121,1.0,0.0,2.313
122,1.0,0.0,2.313
123,1.0,0.0,2.313
124,1.0,0.62962963,2.313
125,1.0,0.62962963,2.313
126,1.0,0.62962963,2.313
127,1.0,0.62962963,2.313
128,1.0,0.62962963,2.313
129,1.0,0.62962963,2.313
130,1.0,0.393162393,0.26
131,1.0,0.0,0.807
132,1.0,0.0,1.109
133,1.0,0.0,1.21
134,1.0,0.0,1.21
135,1.0,0.0,2.189
136,1.0,0.0,2.169
137,1.0,0.0,1.637
138,1.0,0.0,1.637
139,1.0,0.0,1.072
140,1.0,0.0,1.441
141,1.0,0.0,1.441
142,1.0,0.0,-0.558
143,1.0,0.0,-0.72
144,1.0,0.393939394,-0.784
145,1.0,0.393939394,-0.843
146,1.0,0.393939394,-0.843
147,1.0,0.393939394,-1.08
148,1.0,0.393939394,-1.251
149,1.0,0.494152047,-0.567
150,1.0,0.494152047,-0.778
151,1.0,0.447089947,-0.373
152,1.0,0.0,0.374
153,1.0,0.0,0.323
154,1.0,0.0,0.227
155,1.0,0.873015873,0.412
156,1.0,0.873015873,0.412
157,1.0,0.873015873,0.412
158,1.0,0.873015873,0.862
159,1.0,0.0,-0.35
160,1.0,0.0,-0.35
161,1.0,0.0,-0.35
162,1.0,0.0,-0.35
163,1.0,0.0,-0.35
164,1.0,0.777777778,-0.35
165,1.0,0.777777778,-0.924
166,1.0,0.851851852,-0.924
167,1.0,0.851851852,-0.915
168,1.0,0.851851852,-0.549
169,1.0,0.851851852,-0.627
170,1.0,0.0,-0.603
171,1.0,0.0,-0.603
172,1.0,0.0,-0.603
173,1.0,0.0,-0.452
174,1.0,-0.037037037,-1.029
175,1.0,0.0,1.075
176,1.0,0.0,0.818
177,1.0,0.633986928,0.712
178,1.0,0.633986928,0.712
179,1.0,0.633986928,0.712
180,1.0,0.633986928,1.3
181,1.0,0.633986928,1.799
182,1.0,0.763888889,1.205
183,1.0,0.763888889,1.205
184,1.0,0.763888889,1.205
185,1.0,0.814814815,1.205
186,1.0,0.814814815,1.205
187,1.0,0.711111111,-0.317
188,1.0,0.711111111,0.1
189,1.0,0.711111111,0.1
190,1.0,0.711111111,0.815
191,1.0,0.0,1.359
192,1.0,0.0,1.39
193,1.0,0.0,1.39
194,1.0,0.0,1.39
195,1.0,0.0,1.023
196,1.0,0.0,0.472
197,1.0,0.5,-0.227
198,1.0,0.0,-0.227
199,1.0,0.0,-0.067
