,outcome
0,1
1,1
2,0
3,1
4,2
5,2
6,0
7,1
8,1
9,0
10,2
11,1
12,1
13,1
14,1
15,0
16,2
17,0
18,2
19,2
20,2
21,2
22,0
23,0
24,2
25,2
26,0
27,2
28,1
29,1
30,2
31,2
32,2
33,2
34,2
35,2
36,0
37,2
38,2
39,1
40,1
41,1
42,0
43,2
44,2
45,0
46,2
47,2
48,0
49,2
50,2
51,1
52,0
53,2
54,1
55,2
56,2
57,0
58,1
59,2
60,2
61,2
62,2
63,2
64,2
65,0
66,0
67,1
68,0
69,2
70,1
71,0
72,0
73,2
74,0
75,0
76,0
77,2
78,2
79,2
80,2
81,2
82,2
83,0
84,1
85,2
86,2
87,0
88,1
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,0
101,2
102,2
103,0
104,1
105,0
106,0
107,0
108,2
109,1
110,1
111,2
112,1
113,0
114,2
115,1
116,1
117,2
118,1
119,1
120,2
121,1
122,1
123,2
124,0
125,2
126,2
127,0
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,0
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,2
159,2
160,0
161,2
162,2
163,2
164,2
165,2
166,1
167,1
168,2
169,2
170,2
171,0
172,0
173,2
174,2
175,2
176,2
177,2
178,1
179,1
180,1
181,1
182,1
183,2
184,2
185,2
186,2
187,1
188,1
189,1
190,2
191,2
192,2
193,2
194,2
195,2
196,1
197,2
198,2
199,2
200,2
201,2
202,2
203,1
204,1
205,1
206,1
207,2
208,2
209,2
210,1
211,2
212,1
213,1
214,1
215,2
216,1
217,2
218,2
219,2
220,2
221,2
222,1
223,0
224,2
225,1
226,2
227,1
228,2
229,2
230,2
231,2
232,2
233,0
234,2
235,2
236,0
237,0
238,2
239,0
240,2
241,1
242,2
243,2
244,1
245,1
246,1
247,1
248,1
249,2
250,2
251,2
252,2
253,0
254,0
255,0
256,2
257,2
258,0
259,1
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,0
272,2
273,0
274,2
275,2
276,2
277,2
278,2
279,2
280,1
281,1
282,2
283,2
284,2
285,1
286,1
287,1
288,1
289,1
290,2
291,1
292,2
293,0
294,2
295,2
296,2
297,0
298,2
299,0
300,0
301,2
302,2
303,2
304,2
305,1
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,1
316,2
317,2
318,2
319,1
320,2
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,2
330,2
331,2
332,2
333,1
334,2
335,2
336,1
337,2
338,1
339,2
340,1
341,0
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,1
350,2
351,0
352,1
353,2
354,0
355,2
356,0
357,0
358,0
359,0
360,2
361,2
362,2
363,2
364,2
365,2
366,0
367,2
368,0
369,1
370,1
371,0
372,2
373,2
374,1
375,2
376,2
377,1
378,2
379,0
380,2
381,2
382,2
383,1
384,2
385,2
386,2
387,2
388,1
389,2
390,2
391,2
392,2
393,1
394,1
395,1
396,1
397,1
398,2
399,0
400,2
401,2
402,2
403,2
404,2
405,0
406,2
407,2
408,1
409,2
410,2
411,2
412,1
413,0
414,2
415,0
416,0
417,0
418,2
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,2
427,0
428,2
429,2
430,2
431,2
432,2
433,0
434,0
435,1
436,0
437,2
438,2
439,1
440,2
441,0
442,0
443,2
444,2
445,0
446,0
447,0
448,0
449,0
450,2
451,0
452,0
453,1
454,0
455,2
456,2
457,0
458,2
459,1
460,2
461,1
462,2
463,1
464,1
465,2
466,0
467,1
468,0
469,2
470,2
471,2
472,2
473,2
474,0
475,2
476,2
477,2
478,2
479,1
480,2
481,2
482,2
483,2
484,2
485,2
486,0
487,2
488,2
489,2
490,0
491,2
492,2
493,2
494,2
495,0
496,1
497,2
498,2
499,0
500,0
501,1
502,2
503,0
504,0
505,1
506,1
507,2
508,2
509,0
510,2
511,1
512,2
513,2
514,2
515,2
516,0
517,2
518,2
519,0
520,2
521,1
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,2
530,2
531,0
532,0
533,0
534,0
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,1
543,2
544,2
545,1
546,0
547,2
548,0
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,1
558,2
559,0
560,1
561,2
562,1
563,1
564,1
565,1
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,1
575,1
576,2
577,1
578,1
579,2
580,2
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,2
593,2
594,2
595,2
596,1
597,2
598,1
599,2
600,1
601,2
602,0
603,1
604,2
605,2
606,2
607,0
608,2
609,2
610,0
611,2
612,2
613,2
614,2
615,0
616,0
617,2
618,2
619,0
620,2
622,0
623,0
624,2
625,0
626,1
627,1
628,1
629,2
630,2
631,1
632,0
633,2
634,1
635,2
636,0
637,2
638,2
639,1
640,0
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,0
654,2
655,2
656,0
657,0
658,2
659,2
660,2
661,0
662,2
663,2
664,0
665,0
666,2
667,0
668,2
669,0
670,2
671,2
672,2
673,2
674,2
675,1
676,2
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,2
690,1
691,2
692,2
693,2
694,2
695,2
696,2
697,2
698,2
699,2
700,1
701,2
702,2
703,2
704,0
705,0
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,0
716,2
717,2
718,2
719,2
720,2
721,0
722,2
723,2
724,2
725,0
726,2
727,1
728,1
729,2
730,1
731,0
732,0
733,0
734,1
735,2
736,2
737,2
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,0
746,2
747,2
748,1
749,0
750,1
751,1
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,1
760,2
761,2
762,0
763,2
764,2
765,2
766,2
767,2
768,0
769,2
770,2
771,2
772,0
773,2
774,2
775,0
776,0
777,2
778,2
779,2
780,1
781,0
782,1
783,2
784,2
785,2
786,2
787,0
788,0
789,1
790,0
791,0
792,2
793,2
794,1
795,2
796,0
797,0
798,2
799,2
800,1
801,0
802,0
803,2
804,0
805,2
806,2
807,2
808,2
809,2
810,2
811,1
812,2
813,1
