variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
Intercept,0.8981435795456288,Contracts Expression,Contracts Expression,0.22160942223902552,5.0603467380249476e-05,spec_base_1,Mixed Outcome,***,0.898*** (0.222)
Intercept,-0.11921883891767979,Expands Expression,Expands Expression,0.23292655510008842,0.6087698714646983,spec_base_1,Mixed Outcome,,-0.119 (0.233)
wdj_expression_lag1,0.10482242139866281,Contracts Expression,Contracts Expression,0.2809740308819084,0.7090978301079354,spec_base_1,Mixed Outcome,,0.105 (0.281)
wdj_expression_lag1,0.17293970842768644,Expands Expression,Expands Expression,0.28862149767187206,0.5490448200002638,spec_base_1,Mixed Outcome,,0.173 (0.289)
v2jureform_lag1,-0.21197629329276313,Contracts Expression,Contracts Expression,0.15307163268538046,0.16610824330114016,spec_base_1,Mixed Outcome,,-0.212 (0.153)
v2jureform_lag1,-0.02803425504472944,Expands Expression,Expands Expression,0.17969535271115658,0.8760252131511899,spec_base_1,Mixed Outcome,,-0.028 (0.18)
Intercept,0.9562839519011618,Contracts Expression,Contracts Expression,0.2493455153888634,0.00012547438054086904,spec_base_2,Mixed Outcome,***,0.956*** (0.249)
Intercept,-0.13786427666217066,Expands Expression,Expands Expression,0.27258665473810617,0.6130229522677119,spec_base_2,Mixed Outcome,,-0.138 (0.273)
wdj_expression_lag1,0.04225865211483668,Contracts Expression,Contracts Expression,0.308597139643875,0.891079860989495,spec_base_2,Mixed Outcome,,0.042 (0.309)
wdj_expression_lag1,0.1831132473554372,Expands Expression,Expands Expression,0.3227688344560709,0.5704967235550433,spec_base_2,Mixed Outcome,,0.183 (0.323)
v2jupoatck_lag1,-0.11900737195232651,Contracts Expression,Contracts Expression,0.12131370186499886,0.3265983088569223,spec_base_2,Mixed Outcome,,-0.119 (0.121)
v2jupoatck_lag1,0.021501762019501398,Expands Expression,Expands Expression,0.1424206626367285,0.8799965309736935,spec_base_2,Mixed Outcome,,0.022 (0.142)
Intercept,0.8658449373324468,Contracts Expression,Contracts Expression,0.29882490102487597,0.0037615059456502006,spec_base_3,Mixed Outcome,***,0.866*** (0.299)
Intercept,-0.3603007826999467,Expands Expression,Expands Expression,0.349869546348752,0.30309702458106336,spec_base_3,Mixed Outcome,,-0.36 (0.35)
wdj_expression_lag1,0.0742993741781771,Contracts Expression,Contracts Expression,0.2870381912511717,0.7957522186961419,spec_base_3,Mixed Outcome,,0.074 (0.287)
wdj_expression_lag1,0.06955182841739822,Expands Expression,Expands Expression,0.2870374095433268,0.8085405225865111,spec_base_3,Mixed Outcome,,0.07 (0.287)
v2jupack_lag1,0.03221546132466364,Contracts Expression,Contracts Expression,0.16057505191580354,0.8409913625716805,spec_base_3,Mixed Outcome,,0.032 (0.161)
v2jupack_lag1,0.25596365193994314,Expands Expression,Expands Expression,0.19314970366168585,0.18510196764511921,spec_base_3,Mixed Outcome,,0.256 (0.193)
Intercept,-2.1589699431754332,Contracts Expression,Contracts Expression,0.6525309993750682,0.0009376067641647304,spec_extended_1,Mixed Outcome,***,-2.159*** (0.653)
Intercept,-3.7246913240164554,Expands Expression,Expands Expression,0.8082591394974142,4.05997006518185e-06,spec_extended_1,Mixed Outcome,***,-3.725*** (0.808)
wdj_expression_lag1,-0.08058964959375381,Contracts Expression,Contracts Expression,0.19619468399724146,0.6812458306483871,spec_extended_1,Mixed Outcome,,-0.081 (0.196)
wdj_expression_lag1,-0.09287081847581047,Expands Expression,Expands Expression,0.24095873560376255,0.6999247220067604,spec_extended_1,Mixed Outcome,,-0.093 (0.241)
v2jureform_lag1,-0.33474378696909673,Contracts Expression,Contracts Expression,0.12389669734966767,0.006896575159473369,spec_extended_1,Mixed Outcome,***,-0.335*** (0.124)
v2jureform_lag1,-0.1839669045061707,Expands Expression,Expands Expression,0.2503970990986772,0.46252184130261265,spec_extended_1,Mixed Outcome,,-0.184 (0.25)
v2x_polyarchy_lag1,3.4870241754507907,Contracts Expression,Contracts Expression,1.2153318028064442,0.00411517745171575,spec_extended_1,Mixed Outcome,***,3.487*** (1.215)
