variable,coef,class_label,outcome,std_err,p_value,spec,sample,high_court_value,base_category,stars,coef_se
Intercept,-1.3960762392262132,Contracts Expression,Contracts Expression,1.6190765358642256,0.3885406173794055,spec_extended_4,high_court_1,1,Mixed Outcome,,-1.396 (1.619)
Intercept,-3.928614139934099,Expands Expression,Expands Expression,1.9927408371928645,0.048670980647185585,spec_extended_4,high_court_1,1,Mixed Outcome,**,-3.929** (1.993)
wdj_citizen_lag1,0.4261754728362244,Contracts Expression,Contracts Expression,0.788925323027104,0.5890608491268905,spec_extended_4,high_court_1,1,Mixed Outcome,,0.426 (0.789)
wdj_citizen_lag1,0.3202843412958127,Expands Expression,Expands Expression,0.8769873875426798,0.7149548435607991,spec_extended_4,high_court_1,1,Mixed Outcome,,0.32 (0.877)
v2jupack_lag1,-0.6182924306856366,Contracts Expression,Contracts Expression,0.375845109347858,0.09995487349963962,spec_extended_4,high_court_1,1,Mixed Outcome,*,-0.618* (0.376)
v2jupack_lag1,-0.8038142896575518,Expands Expression,Expands Expression,0.4548055183036457,0.07716456861881898,spec_extended_4,high_court_1,1,Mixed Outcome,*,-0.804* (0.455)
v2x_polyarchy_lag1,4.844233840401036,Contracts Expression,Contracts Expression,2.741110218360968,0.0771859537118695,spec_extended_4,high_court_1,1,Mixed Outcome,*,4.844* (2.741)
v2x_polyarchy_lag1,7.800027284275532,Expands Expression,Expands Expression,3.3362112620704933,0.01938778687345877,spec_extended_4,high_court_1,1,Mixed Outcome,**,7.8** (3.336)
v2jureview_lag1,0.2237588910401681,Contracts Expression,Contracts Expression,0.5761621324207569,0.6977489151252418,spec_extended_4,high_court_1,1,Mixed Outcome,,0.224 (0.576)
v2jureview_lag1,0.5687121153591839,Expands Expression,Expands Expression,0.6419871167875415,0.37569179099923633,spec_extended_4,high_court_1,1,Mixed Outcome,,0.569 (0.642)
legal_common,-1.3302176332310705,Contracts Expression,Contracts Expression,0.5357274187212361,0.013027668263089081,spec_extended_4,high_court_1,1,Mixed Outcome,**,-1.33** (0.536)
legal_common,-0.4792760853310774,Expands Expression,Expands Expression,0.6695455841952511,0.4741006886393674,spec_extended_4,high_court_1,1,Mixed Outcome,,-0.479 (0.67)
legal_civil,0.021246690702763634,Contracts Expression,Contracts Expression,0.5317976925008544,0.9681309304863623,spec_extended_4,high_court_1,1,Mixed Outcome,,0.021 (0.532)
legal_civil,-0.6882596220037086,Expands Expression,Expands Expression,0.6241984439073607,0.2701880912199225,spec_extended_4,high_court_1,1,Mixed Outcome,,-0.688 (0.624)
j_ind_lag1,0.08015801445822986,Contracts Expression,Contracts Expression,0.4648622370021642,0.8630964128650744,spec_extended_4,high_court_1,1,Mixed Outcome,,0.08 (0.465)
j_ind_lag1,-0.6290616775281352,Expands Expression,Expands Expression,0.4635570831268639,0.17477112394433247,spec_extended_4,high_court_1,1,Mixed Outcome,,-0.629 (0.464)
Intercept,-2.1455753399210096,Contracts Expression,Contracts Expression,0.7748777991708387,0.005624228637458357,spec_extended_4,high_court_0,0,Mixed Outcome,***,-2.146*** (0.775)
Intercept,-3.7571074642439797,Expands Expression,Expands Expression,1.044032147225161,0.00031987194909351163,spec_extended_4,high_court_0,0,Mixed Outcome,***,-3.757*** (1.044)
wdj_citizen_lag1,-0.5508738440703439,Contracts Expression,Contracts Expression,0.5392239180053138,0.30696789610971276,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.551 (0.539)
wdj_citizen_lag1,-1.4492756246715601,Expands Expression,Expands Expression,0.826493797974363,0.07951232893534756,spec_extended_4,high_court_0,0,Mixed Outcome,*,-1.449* (0.826)
v2jupack_lag1,0.3120103667333823,Contracts Expression,Contracts Expression,0.2139191065546706,0.14469073699177698,spec_extended_4,high_court_0,0,Mixed Outcome,,0.312 (0.214)
v2jupack_lag1,-0.1381461084075637,Expands Expression,Expands Expression,0.39140698861470463,0.7241278182026702,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.138 (0.391)
v2x_polyarchy_lag1,2.700135893375133,Contracts Expression,Contracts Expression,1.2848071149566154,0.03558933566251583,spec_extended_4,high_court_0,0,Mixed Outcome,**,2.7** (1.285)
v2x_polyarchy_lag1,5.846852822693742,Expands Expression,Expands Expression,2.213412342594549,0.008252614445707726,spec_extended_4,high_court_0,0,Mixed Outcome,***,5.847*** (2.213)
v2jureview_lag1,1.0028929581906605,Contracts Expression,Contracts Expression,0.3587198876300132,0.005177861880287232,spec_extended_4,high_court_0,0,Mixed Outcome,***,1.003*** (0.359)
v2jureview_lag1,-0.0007521710075456946,Expands Expression,Expands Expression,0.38152480200443334,0.9984269823558489,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.001 (0.382)
legal_common,-2.1837295106023324,Contracts Expression,Contracts Expression,0.3711732085348768,4.0212557266769856e-09,spec_extended_4,high_court_0,0,Mixed Outcome,***,-2.184*** (0.371)
legal_common,-0.8905035052395843,Expands Expression,Expands Expression,0.5905063619672326,0.13154589724371882,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.891 (0.591)
legal_civil,-1.0968137567762926,Contracts Expression,Contracts Expression,0.41267553434203225,0.007864988341669224,spec_extended_4,high_court_0,0,Mixed Outcome,***,-1.097*** (0.413)
legal_civil,-0.43153295575027323,Expands Expression,Expands Expression,0.5058843828469264,0.3936444210430997,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.432 (0.506)
j_ind_lag1,0.15673589218573772,Contracts Expression,Contracts Expression,0.3003622440597412,0.6017936555090693,spec_extended_4,high_court_0,0,Mixed Outcome,,0.157 (0.3)
j_ind_lag1,0.11315407675814819,Expands Expression,Expands Expression,0.30478131728236946,0.7104415298971039,spec_extended_4,high_court_0,0,Mixed Outcome,,0.113 (0.305)
