variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
Intercept,0.11921883891767976,Contracts Expression,Contracts Expression,0.23292655510008908,0.6087698714646994,spec_base_1,Mixed Outcome,,0.119 (0.233)
Intercept,1.0173624184633085,Expands Expression,Expands Expression,0.1353781820989377,5.692578161712465e-14,spec_base_1,Mixed Outcome,***,1.017*** (0.135)
wdj_expression_lag1,-0.1729397084276866,Contracts Expression,Contracts Expression,0.2886214976718729,0.5490448200002646,spec_base_1,Mixed Outcome,,-0.173 (0.289)
wdj_expression_lag1,-0.06811728702902371,Expands Expression,Expands Expression,0.18796995153146714,0.7170651574536555,spec_base_1,Mixed Outcome,,-0.068 (0.188)
v2jureform_lag1,0.028034255044729554,Contracts Expression,Contracts Expression,0.17969535271115653,0.8760252131511893,spec_base_1,Mixed Outcome,,0.028 (0.18)
v2jureform_lag1,-0.18394203824803368,Expands Expression,Expands Expression,0.12233372081829494,0.13268216798613616,spec_base_1,Mixed Outcome,,-0.184 (0.122)
Intercept,0.13786427666216994,Contracts Expression,Contracts Expression,0.27258665473810684,0.6130229522677146,spec_base_2,Mixed Outcome,,0.138 (0.273)
Intercept,1.0941482285633322,Expands Expression,Expands Expression,0.13758082626578358,1.8239146609712464e-15,spec_base_2,Mixed Outcome,***,1.094*** (0.138)
wdj_expression_lag1,-0.18311324735543624,Contracts Expression,Contracts Expression,0.32276883445607213,0.5704967235550469,spec_base_2,Mixed Outcome,,-0.183 (0.323)
wdj_expression_lag1,-0.14085459524059984,Expands Expression,Expands Expression,0.23718336680704877,0.552603269923085,spec_base_2,Mixed Outcome,,-0.141 (0.237)
v2jupoatck_lag1,-0.021501762019501103,Contracts Expression,Contracts Expression,0.14242066263672823,0.8799965309736948,spec_base_2,Mixed Outcome,,-0.022 (0.142)
v2jupoatck_lag1,-0.14050913397182765,Expands Expression,Expands Expression,0.10459587665679328,0.17915785495947867,spec_base_2,Mixed Outcome,,-0.141 (0.105)
