variable,coef,class_label,outcome,std_err,p_value,spec,sample,high_court_value,base_category,stars,coef_se
Intercept,-1.396076239204796,Contracts Expression,Contracts Expression,1.6190765358173194,0.38854061737293943,spec_extended_4,high_court_1,1,Mixed Outcome,,-1.396 (1.619)
Intercept,-3.928614139921683,Expands Expression,Expands Expression,1.9927408371442048,0.048670980642396236,spec_extended_4,high_court_1,1,Mixed Outcome,**,-3.929** (1.993)
wdj_citizen_lag1,0.42617547266435946,Contracts Expression,Contracts Expression,0.7889253230575194,0.5890608492914705,spec_extended_4,high_court_1,1,Mixed Outcome,,0.426 (0.789)
wdj_citizen_lag1,0.3202843412116315,Expands Expression,Expands Expression,0.876987387563043,0.7149548436387758,spec_extended_4,high_court_1,1,Mixed Outcome,,0.32 (0.877)
v2jupack_lag1,-0.6182924306796439,Contracts Expression,Contracts Expression,0.37584510935263427,0.09995487350723808,spec_extended_4,high_court_1,1,Mixed Outcome,*,-0.618* (0.376)
v2jupack_lag1,-0.8038142896570493,Expands Expression,Expands Expression,0.45480551830199656,0.07716456861793133,spec_extended_4,high_court_1,1,Mixed Outcome,*,-0.804* (0.455)
v2x_polyarchy_lag1,4.844233840450885,Contracts Expression,Contracts Expression,2.7411102182970795,0.07718595370193006,spec_extended_4,high_court_1,1,Mixed Outcome,*,4.844* (2.741)
v2x_polyarchy_lag1,7.800027284307338,Expands Expression,Expands Expression,3.33621126198832,0.019387786869976827,spec_extended_4,high_court_1,1,Mixed Outcome,**,7.8** (3.336)
v2jureview_lag1,0.22375889102341026,Contracts Expression,Contracts Expression,0.5761621324082379,0.697748915140519,spec_extended_4,high_court_1,1,Mixed Outcome,,0.224 (0.576)
v2jureview_lag1,0.5687121153482072,Expands Expression,Expands Expression,0.6419871167751046,0.37569179099920214,spec_extended_4,high_court_1,1,Mixed Outcome,,0.569 (0.642)
legal_common,-1.3302176332189042,Contracts Expression,Contracts Expression,0.5357274187302592,0.013027668265449103,spec_extended_4,high_court_1,1,Mixed Outcome,**,-1.33** (0.536)
legal_common,-0.47927608532140964,Expands Expression,Expands Expression,0.6695455842194218,0.4741006886642427,spec_extended_4,high_court_1,1,Mixed Outcome,,-0.479 (0.67)
legal_civil,0.021246690768808463,Contracts Expression,Contracts Expression,0.5317976925050728,0.9681309303876034,spec_extended_4,high_court_1,1,Mixed Outcome,,0.021 (0.532)
legal_civil,-0.6882596219746016,Expands Expression,Expands Expression,0.624198443929599,0.27018809125724763,spec_extended_4,high_court_1,1,Mixed Outcome,,-0.688 (0.624)
j_ind_lag1,0.08015801443860614,Contracts Expression,Contracts Expression,0.46486223698460966,0.8630964128931405,spec_extended_4,high_court_1,1,Mixed Outcome,,0.08 (0.465)
j_ind_lag1,-0.6290616775389145,Expands Expression,Expands Expression,0.46355708310674937,0.17477112391823502,spec_extended_4,high_court_1,1,Mixed Outcome,,-0.629 (0.464)
Intercept,-2.1455753398140067,Contracts Expression,Contracts Expression,0.7748777991980438,0.005624228641520151,spec_extended_4,high_court_0,0,Mixed Outcome,***,-2.146*** (0.775)
Intercept,-3.7571074640601907,Expands Expression,Expands Expression,1.0440321472438099,0.00031987194938904546,spec_extended_4,high_court_0,0,Mixed Outcome,***,-3.757*** (1.044)
wdj_citizen_lag1,-0.550873844249093,Contracts Expression,Contracts Expression,0.5392239179779363,0.30696789592819573,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.551 (0.539)
wdj_citizen_lag1,-1.4492756249516492,Expands Expression,Expands Expression,0.8264937978805739,0.07951232884310565,spec_extended_4,high_court_0,0,Mixed Outcome,*,-1.449* (0.826)
v2jupack_lag1,0.31201036677450056,Contracts Expression,Contracts Expression,0.21391910655847268,0.1446907369459775,spec_extended_4,high_court_0,0,Mixed Outcome,,0.312 (0.214)
v2jupack_lag1,-0.13814610832908844,Expands Expression,Expands Expression,0.39140698862201345,0.7241278183579234,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.138 (0.391)
v2x_polyarchy_lag1,2.7001358932155193,Contracts Expression,Contracts Expression,1.2848071150062441,0.03558933568052502,spec_extended_4,high_court_0,0,Mixed Outcome,**,2.7** (1.285)
v2x_polyarchy_lag1,5.846852822340032,Expands Expression,Expands Expression,2.2134123426488856,0.008252614451180815,spec_extended_4,high_court_0,0,Mixed Outcome,***,5.847*** (2.213)
v2jureview_lag1,1.0028929581777744,Contracts Expression,Contracts Expression,0.3587198876244727,0.005177861880170959,spec_extended_4,high_court_0,0,Mixed Outcome,***,1.003*** (0.359)
v2jureview_lag1,-0.000752171015471135,Expands Expression,Expands Expression,0.3815248019970242,0.9984269823392439,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.001 (0.382)
legal_common,-2.183729510698074,Contracts Expression,Contracts Expression,0.37117320854750396,4.02125572527217e-09,spec_extended_4,high_court_0,0,Mixed Outcome,***,-2.184*** (0.371)
legal_common,-0.8905035054030628,Expands Expression,Expands Expression,0.5905063619924464,0.1315458971893468,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.891 (0.591)
legal_civil,-1.0968137567610456,Contracts Expression,Contracts Expression,0.4126755343415008,0.007864988342451518,spec_extended_4,high_court_0,0,Mixed Outcome,***,-1.097*** (0.413)
legal_civil,-0.43153295576418976,Expands Expression,Expands Expression,0.5058843828326538,0.3936444210144987,spec_extended_4,high_court_0,0,Mixed Outcome,,-0.432 (0.506)
j_ind_lag1,0.1567358922194074,Contracts Expression,Contracts Expression,0.30036224406963513,0.6017936554429826,spec_extended_4,high_court_0,0,Mixed Outcome,,0.157 (0.3)
j_ind_lag1,0.1131540768240777,Expands Expression,Expands Expression,0.30478131729771096,0.7104415297499196,spec_extended_4,high_court_0,0,Mixed Outcome,,0.113 (0.305)
