spec,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]","bs(year, df=4)[3]:v2x_polyarchy_lag1",high_court,j_ind_lag1,legal_civil,legal_common,v2jupack_lag1,v2jupoatck_lag1,v2jureform_lag1,v2jureview_lag1,v2x_polyarchy_lag1,wdj_citizen_lag1,wdj_expression_lag1,wdj_govprot_lag1,wdj_intermediaries_lag1,wdj_press_lag1
spec_base_1,1.716,,,,,,,,,,,,,,,1.002,,,,1.002,,,
spec_base_2,1.921,,,,,,,,,,,,,,1.02,,,,,1.02,,,
spec_base_3,2.19,,,,,,,,,,,,,1.031,,,,,,1.031,,,
spec_c_attack,24.027,,,,,,,,,1.044,6.363,1.494,2.708,,1.323,,2.152,6.066,1.258,,,,
spec_c_pack,29.327,,,,,,,,,1.072,6.363,1.547,2.677,3.513,,,2.028,7.857,1.293,,,,
spec_c_reform,23.457,,,,,,,,,1.064,6.44,1.702,2.993,,,1.452,2.14,5.825,1.258,,,,
spec_extended_1,23.761,,,,,,,,,1.102,6.538,1.697,2.956,,,1.452,2.135,5.827,,1.133,,,
spec_extended_1_spline,426.703,10.33,,5.642,,19.084,,10.677,,1.24,6.807,1.707,3.18,,,1.489,2.158,6.282,,1.913,,,
spec_extended_1_spline_interact,260030.85,2230.527,4639.845,3643.269,8582.132,10753.246,44159.808,6173.254,12264.629,1.261,7.193,1.729,3.23,,,1.527,2.273,46333.688,,2.304,,,
spec_extended_2,24.043,,,,,,,,,1.074,6.435,1.49,2.711,,1.528,,2.159,6.031,,1.308,,,
spec_extended_2_spline,426.704,10.412,,5.635,,19.081,,10.67,,1.201,6.677,1.5,2.833,,1.653,,2.23,6.69,,2.066,,,
spec_extended_2_spline_interact,259797.307,2226.926,4633.656,3642.854,8580.115,10742.912,44113.323,6166.729,12251.377,1.217,7.008,1.51,2.868,,1.684,,2.294,46271.282,,2.439,,,
spec_extended_3,28.96,,,,,,,,,1.116,6.47,1.517,2.615,3.423,,,2.019,7.864,,1.135,,,
spec_extended_3_spline,430.136,10.328,,5.629,,19.082,,10.68,,1.243,6.714,1.529,2.773,3.438,,,2.054,8.466,,1.888,,,
spec_extended_3_spline_interact,260220.164,2229.457,4639.054,3655.887,8607.923,10761.571,44192.238,6178.995,12273.935,1.27,7.018,1.539,2.814,3.595,,,2.132,46340.607,,2.255,,,
spec_govprot_attack,23.996,,,,,,,,,1.069,6.554,1.45,2.664,,1.496,,2.152,6.024,,,1.299,,
spec_govprot_pack,28.99,,,,,,,,,1.107,6.599,1.484,2.594,3.416,,,2.021,7.897,,,1.149,,
spec_govprot_reform,23.675,,,,,,,,,1.098,6.669,1.653,2.932,,,1.451,2.136,5.84,,,1.149,,
spec_im_attack,23.931,,,,,,,,,1.046,6.356,1.513,2.744,,1.323,,2.15,6.074,,,,1.304,
spec_im_pack,29.019,,,,,,,,,1.073,6.359,1.563,2.711,3.483,,,2.027,7.853,,,,1.33,
spec_im_reform,23.357,,,,,,,,,1.068,6.428,1.702,3.053,,,1.454,2.143,5.853,,,,1.307,
spec_p_attack,24.489,,,,,,,,,1.043,6.346,1.516,2.846,,1.325,,2.161,6.176,,,,,1.3
spec_p_pack,28.807,,,,,,,,,1.073,6.353,1.568,2.812,3.506,,,2.028,7.885,,,,,1.331
spec_p_reform,23.962,,,,,,,,,1.064,6.423,1.713,3.129,,,1.451,2.146,5.975,,,,,1.297
