year,yearspline1,yearspline2
1927,1927.0,0.0
1936,1936.0,0.0
1940,1940.0,0.0
1942,1942.0,0.0
1951,1951.0,0.0
1952,1952.0,0.0
1963,1963.0,0.0
1964,1964.0,0.0
1965,1965.0,0.0
1966,1966.0,0.0
1967,1967.0,0.0
1968,1968.0,0.0
1969,1969.0,0.0
1971,1971.0,0.0
1972,1972.0,0.0
1975,1975.0,0.0
1976,1976.0,0.0
1977,1977.0,0.0
1978,1978.0,0.0
1979,1979.0,0.0
1980,1980.0,0.0
1982,1982.0,0.0
1986,1986.0,0.0
1987,1987.0,0.0
1988,1988.0,0.0
1989,1989.0,0.0
1990,1990.0,0.0
1991,1991.0,0.0
1992,1992.0,0.0
1993,1993.0,0.0
1994,1994.0,0.0
1995,1995.0,0.0
1996,1996.0,0.0
1997,1997.0,0.0
1998,1998.0,0.0
1999,1999.0,0.0
2000,2000.0,0.0
2001,2001.0,0.0
2002,2002.0,0.0022675736961451248
2003,2003.0,0.018140589569160998
2004,2004.0,0.061224489795918366
2005,2005.0,0.14512471655328799
2006,2006.0,0.2834467120181406
2007,2007.0,0.4897959183673469
2008,2008.0,0.7777777777777778
2009,2009.0,1.1609977324263039
2010,2010.0,1.653061224489796
2011,2011.0,2.2675736961451247
2012,2012.0,3.018140589569161
2013,2013.0,3.9183673469387754
2014,2014.0,4.981859410430839
2015,2015.0,6.222222222222222
2016,2016.0,7.653061224489796
2017,2017.0,9.280045351473923
2018,2018.0,11.077097505668934
2019,2019.0,13.010204081632653
2020,2020.0,15.045351473922903
2021,2021.0,17.148526077097507
2022,2022.0,19.285714285714285
2023,2023.0,21.428571428571427
2024,2024.0,23.571428571428573
2025,2025.0,25.714285714285715
