model,predictor,title,variant,N,png,printed_comparisons_pass
indep1,court_independence_lag1,Judicial Independence,without_histogram,825,figures/indep1__court_independence_lag1__without_histogram.png,True
indep1,court_independence_lag1,Judicial Independence,with_histogram,825,figures/indep1__court_independence_lag1__with_histogram.png,True
indep2,court_independence_lag1,Judicial Independence,without_histogram,825,figures/indep2__court_independence_lag1__without_histogram.png,True
indep2,court_independence_lag1,Judicial Independence,with_histogram,825,figures/indep2__court_independence_lag1__with_histogram.png,True
attack1,v2jupoatck_lag1,Judicial Attacks,without_histogram,1074,figures/attack1__v2jupoatck_lag1__without_histogram.png,False
attack1,v2jupoatck_lag1,Judicial Attacks,with_histogram,1074,figures/attack1__v2jupoatck_lag1__with_histogram.png,False
attack2,v2jupack_lag1,Court Packing,without_histogram,1074,figures/attack2__v2jupack_lag1__without_histogram.png,False
attack2,v2jupack_lag1,Court Packing,with_histogram,1074,figures/attack2__v2jupack_lag1__with_histogram.png,False
attack3,v2jureform_lag1,Judicial Reform,without_histogram,1074,figures/attack3__v2jureform_lag1__without_histogram.png,False
attack3,v2jureform_lag1,Judicial Reform,with_histogram,1074,figures/attack3__v2jureform_lag1__with_histogram.png,False
attack4,v2jupurge_lag1,Judicial Purges,without_histogram,1074,figures/attack4__v2jupurge_lag1__without_histogram.png,False
attack4,v2jupurge_lag1,Judicial Purges,with_histogram,1074,figures/attack4__v2jupurge_lag1__with_histogram.png,False
attack5,v2jupurge_lag1,Judicial Purges,without_histogram,1074,figures/attack5__v2jupurge_lag1__without_histogram.png,True
attack5,v2jupurge_lag1,Judicial Purges,with_histogram,1074,figures/attack5__v2jupurge_lag1__with_histogram.png,True
dejure1,wdj_expression_lag1,De Jure Expression,without_histogram,1074,figures/dejure1__wdj_expression_lag1__without_histogram.png,False
dejure1,wdj_expression_lag1,De Jure Expression,with_histogram,1074,figures/dejure1__wdj_expression_lag1__with_histogram.png,False
dejure2,wdj_expression_lag1,De Jure Expression,without_histogram,1074,figures/dejure2__wdj_expression_lag1__without_histogram.png,True
dejure2,wdj_expression_lag1,De Jure Expression,with_histogram,1074,figures/dejure2__wdj_expression_lag1__with_histogram.png,True
dejure3,wdj_press_lag1,De Jure Press,without_histogram,1074,figures/dejure3__wdj_press_lag1__without_histogram.png,False
dejure3,wdj_press_lag1,De Jure Press,with_histogram,1074,figures/dejure3__wdj_press_lag1__with_histogram.png,False
dejure4,wdj_press_lag1,De Jure Press,without_histogram,1074,figures/dejure4__wdj_press_lag1__without_histogram.png,False
dejure4,wdj_press_lag1,De Jure Press,with_histogram,1074,figures/dejure4__wdj_press_lag1__with_histogram.png,False
dejure5,wdj_citizen_lag1,De Jure Citizen,without_histogram,1074,figures/dejure5__wdj_citizen_lag1__without_histogram.png,False
dejure5,wdj_citizen_lag1,De Jure Citizen,with_histogram,1074,figures/dejure5__wdj_citizen_lag1__with_histogram.png,False
dejure6,wdj_citizen_lag1,De Jure Citizen,without_histogram,1074,figures/dejure6__wdj_citizen_lag1__without_histogram.png,True
dejure6,wdj_citizen_lag1,De Jure Citizen,with_histogram,1074,figures/dejure6__wdj_citizen_lag1__with_histogram.png,True
full1,court_independence_lag1,Judicial Independence,without_histogram,825,figures/full1__court_independence_lag1__without_histogram.png,True
full1,court_independence_lag1,Judicial Independence,with_histogram,825,figures/full1__court_independence_lag1__with_histogram.png,True
