model,loglik_at_rounded_logged_coefficients,loglik_at_python_optimum,loglik_improvement_from_rounded_log,refit_from_rounded_log_max_coefficient_difference,max_probability_difference_from_rounded_log,max_focal_coefficient_difference
indep1,-808.7212346945512,-808.7212334246717,1.2698794762400212e-06,3.197442310920451e-14,3.2447132166379955e-05,3.86523233419922e-08
indep2,-759.2258269941806,-759.2258260011183,9.93062258203281e-07,4.973799150320701e-14,2.848370300267966e-05,1.175405817122055e-08
attack1,-1051.5393246365188,-1051.539324560663,7.585572348034475e-08,1.4210854715202004e-14,5.164641464161512e-06,3.421183580876175e-08
attack2,-1049.2601172598606,-1049.2601165729325,6.86928160575917e-07,4.263256414560601e-14,1.7966375416789138e-05,5.819389553574084e-09
attack3,-1051.1598945402761,-1051.159893785704,7.54572056393954e-07,7.283063041541027e-14,1.8612152257957426e-05,2.8768166207733536e-08
attack4,-1048.7318561088775,-1048.7318552379013,8.709762369107921e-07,1.4210854715202004e-14,1.9100434303420677e-05,5.109675244030498e-08
attack5,-985.0908016657095,-985.090800927693,7.380165243375814e-07,2.842170943040401e-14,2.3317329787331253e-05,4.625778170230799e-08
dejure1,-1054.393722765701,-1054.3937208093446,1.956356527443859e-06,1.7763568394002505e-14,2.9661798543134665e-05,1.4516712130985265e-08
dejure2,-982.188226483235,-982.1882261756163,3.076187340411707e-07,2.842170943040401e-14,1.3116990542183515e-05,4.128335062691946e-08
dejure3,-1044.9245117612697,-1044.9245110273541,7.339156127272872e-07,2.4868995751603507e-14,1.74092247328117e-05,2.7171264325165367e-06
dejure4,-980.274897862751,-980.2748955891402,2.273610789416125e-06,5.684341886080802e-14,4.010547676858156e-05,1.4844992612950136e-07
dejure5,-1044.2087908815572,-1044.2087901743944,7.071628260746365e-07,3.730349362740526e-14,2.006901166473618e-05,3.0088071989453624e-06
dejure6,-979.1806037770579,-979.1806037508079,2.6249949769407976e-08,4.973799150320701e-14,4.332854293298549e-06,2.8286475317607085e-07
full1,-758.2550359243933,-758.2550357724149,1.5197838365565985e-07,3.552713678800501e-14,1.1756997797318647e-05,3.551561145176407e-08
full2,-754.4460596374518,-754.44605938936,2.480917373759439e-07,2.1316282072803006e-14,1.3426456851983737e-05,4.4519861575054165e-08
full3,-756.742668428057,-756.7426683473775,8.067945600487292e-08,2.1316282072803006e-14,8.616128481131469e-06,3.0850695886819324e-07
full4,-755.1832326391946,-755.1832324768158,1.6237879663094645e-07,6.394884621840902e-14,1.2179836121339882e-05,1.3093819584142352e-07
