model,import_storage,spline_storage,printed_precision_failures,max_coef_error,max_se_error
indep1,float32,float32,0,4.633219656824394e-06,4.836054383616784e-07
indep2,float32,float32,0,2.7398256534638676e-06,4.883303926561666e-06
attack1,float32,float32,1,2.823633121096236e-06,3.1880670388062526e-06
attack2,float32,float32,2,5.196222971903808e-07,4.624360855132181e-06
attack3,float32,float32,1,1.987065935793453e-06,3.310465764627679e-06
attack4,float32,float32,3,5.498581039375949e-06,3.716604188852557e-06
attack5,float32,float32,0,4.635598934044083e-06,1.58062011124116e-06
dejure1,float32,float32,2,2.5293994028174893e-06,3.326662174174544e-06
dejure2,float32,float32,0,2.721159660268313e-06,2.471127100278636e-06
dejure3,float32,float32,16,1.83914697622356e-05,6.017793310775232e-06
dejure4,float32,float32,1,1.9298004971801674e-06,2.565883551852721e-06
dejure5,float32,float32,16,2.0501024746266694e-05,4.956140301715095e-06
dejure6,float32,float32,0,3.117834886268156e-06,1.5497294114652505e-06
full1,float32,float32,0,2.473179904427525e-06,3.6299017054375327e-06
full2,float32,float32,0,4.838738853152336e-06,1.5797414043561275e-06
full3,float32,float32,0,4.121489602937345e-06,2.730836328623809e-06
full4,float32,float32,1,4.172002618929582e-06,2.70985170480742e-06
indep1,float32,float64,1,4.6112532210429436e-06,2.211200396118329e-07
indep2,float32,float64,2,3.1456567199938945e-06,4.52389209826265e-06
attack1,float32,float64,3,2.2386519162864715e-06,3.049621613016029e-06
attack2,float32,float64,3,1.6899135433234846e-06,5.266777726831151e-06
attack3,float32,float64,2,1.292849024281395e-06,2.7148435037815943e-06
attack4,float32,float64,4,6.417389958102149e-06,3.790260432623427e-06
attack5,float32,float64,1,5.260032779119683e-06,8.991995095186667e-07
dejure1,float32,float64,2,3.1870064134409404e-06,3.881501335456505e-06
dejure2,float32,float64,2,4.190310662011143e-06,3.0431237298955693e-06
dejure3,float32,float64,16,1.9209158143240757e-05,6.5855886077770265e-06
dejure4,float32,float64,2,2.582709264231653e-06,3.252212895432649e-06
dejure5,float32,float64,17,2.136411120901016e-05,5.535011418089653e-06
dejure6,float32,float64,2,4.539171840178824e-06,9.237208473678038e-07
full1,float32,float64,2,2.504264415392754e-06,3.3299246098295043e-06
full2,float32,float64,5,5.087733200070943e-06,1.1049248591632477e-06
full3,float32,float64,1,4.385836220421879e-06,3.0937500241634552e-06
full4,float32,float64,3,3.7413783147144386e-06,2.404622698293224e-06
indep1,float64,float64,2,5.091534610812687e-06,3.1530588628925216e-07
indep2,float64,float64,2,3.4026275557152985e-06,4.701538621532109e-06
attack1,float64,float64,3,2.0356870500393143e-06,3.0931995933514145e-06
attack2,float64,float64,3,1.8350378079290408e-06,5.038499168108501e-06
attack3,float64,float64,3,1.2524081594023073e-06,2.847122402727109e-06
attack4,float64,float64,4,6.019692364134244e-06,3.7896536877468634e-06
attack5,float64,float64,2,5.1721797049708584e-06,9.044701698712743e-07
dejure1,float64,float64,3,3.178972040274175e-06,3.84864739544355e-06
dejure2,float64,float64,3,4.146406997307395e-06,3.0123063545772766e-06
dejure3,float64,float64,16,1.925814916958757e-05,6.596597970087714e-06
dejure4,float64,float64,2,2.6473072267663156e-06,3.2832066629850942e-06
dejure5,float64,float64,17,2.1344391043953692e-05,5.529582530527932e-06
dejure6,float64,float64,3,4.499161963877896e-06,9.415055153283447e-07
full1,float64,float64,1,3.012576520688981e-06,3.354279224154766e-06
full2,float64,float64,6,5.751284227528686e-06,1.1413426292961049e-06
full3,float64,float64,6,4.912059345940634e-06,3.0064519904726694e-06
full4,float64,float64,4,2.9620469561564278e-06,2.3962260176091377e-06
